event-name,event-datetime,event-type,price,event-location,user-age,user-category,instagram,organizer,price_numeric_min,price_numeric_max,price_category,age_group_label,audience_size_estimate,dance_focus,dance_style,season,region,cross_border_potential
1. Mai Hock auf Rötteln,2025-05-01,Volksfest / Outdoor,kostenlos,"Burg Rötteln, Lörrach",alle Altersgruppen,Familien & Stadtbevölkerung,@burgruine_roetteln,Burg Rötteln Verein,,,teuer,unknown,unknown,Nein,None,Frühling,Lörrach/Weil,Ja
Rheinfelden Cityfest,2025-06-19 bis 2025-06-22,Stadtfest / Musik & Markt,kostenlos,Innenstadt Rheinfelden,alle Altersgruppen,Community / Stadtfestbesucher,@rheinfeldenbaden,Stadt Rheinfelden,,,teuer,unknown,unknown,Nein,None,Sommer,unknown,Nein
Märkte Innenstadt Rheinfelden,2025-09-05 bis 2025-09-07,Markt / Stadtleben,kostenlos,Innenstadt Rheinfelden,alle Altersgruppen,Marktbesucher,@rheinfeldenbaden,Stadt Rheinfelden,,,teuer,unknown,unknown,Nein,None,Herbst,unknown,Nein
AUREA Jukebox Night,2025-09-18 19:00,Musiknacht / Bar-Event,15-25 CHF,"AUREA, Rheinfelden",20-45,Bar- & Clubgänger,@aurea_rheinfelden,AUREA Rheinfelden,15.0,25.0,mittel,Midlife,300-2000,Nein,None,Herbst,unknown,Nein
Schnitzelbank-Abend,2025-09-19 19:30,Unterhaltung / Restaurant-Abend,20-30 CHF,"Restaurant Schiff, Rheinfelden",30-70,Lokalbesucher,@restaurant_schiff_rheinfelden,Restaurant Schiff Rheinfelden,20.0,30.0,mittel,Senior/All Ages,unknown,Nein,None,Herbst,unknown,Nein
Konzert Projektchor CHORTUS,2025-09-21 17:00,Chor-Konzert,15-25 CHF,Kapuzinerkirche Rheinfelden,30-70,Chormusik- & Kulturfans,@chortrus_rheinfelden,Projektchor CHORTUS,15.0,25.0,mittel,Senior/All Ages,unknown,Nein,None,Herbst,unknown,Nein
Theater Freiburg – Wasserwelt. Das Musical,2025-09-26 20:00,Musical / Theater,25-60 €,Theater Freiburg,18-60,Musical- & Theaterfans,@theaterfreiburg,Theater Freiburg,25.0,60.0,teuer,Midlife,unknown,Nein,None,Herbst,Freiburg,Ja
Räng Slam Freiburg,2025-09-10 20:00,Poetry Slam / Spoken Word,10-15 €,"Räng Teng Teng, Freiburg",18-45,Poetry Slam Fans,@poetryslamfreiburg,Poetry Slam Freiburg,10.0,15.0,günstig,Midlife,unknown,Nein,None,Herbst,Freiburg,Ja
Atlantik Slam Freiburg,jeden letzten Donnerstag im Monat 20:00,Poetry Slam / Open Stage,10-15 €,"Café Atlantik, Freiburg",18-45,Poetry Slam Fans,@cafeatlantikfreiburg,Poetry Slam Freiburg,10.0,15.0,günstig,Midlife,unknown,Nein,None,unknown,Freiburg,Ja
Kommunales Kino Freiburg – HerStories: arabische Filmpionierinnen,2025-09-12 bis 2025-09-14,Filmfestival / Kino / Panel,8-12 €,"Kommunales Kino, Freiburg",18-60,Film- & Kulturpublikum,@koki_freiburg,Kommunales Kino Freiburg,8.0,12.0,günstig,Midlife,>10000,Nein,Multigenre,Herbst,Freiburg,Ja
Sommernachtskino im Schwarzen Kloster,"2025-06-26 bis 2025-09-07, abends",Open-Air Kino,8-12 €,"Innenhof Schwarzes Kloster, Freiburg",alle Altersgruppen,Filmfans & Sommerpublikum,@sommernachtskino,Sommernachtskino Freiburg,8.0,12.0,günstig,unknown,unknown,Nein,None,Sommer,Freiburg,Ja
Internationales Sommerfest Lörrach,2025-07-12 10:00-17:00,Stadtfest / Kultur / Musik & Markt,kostenlos,"Alter Marktplatz, Lörrach",alle Altersgruppen,"Stadtbevölkerung, Kulturfreunde",@stadt.loerrach,Stadt Lörrach,,,teuer,unknown,500-5000,Nein,None,Sommer,Lörrach/Weil,Ja
Newcomer*innen Poetry Slam Freiburg,2025-09-26 19:00,Poetry Slam / Jugend,10-15 €,"Haus der Jugend, Freiburg",16-30,Jugendliche & junge Erwachsene,@poetryslamfreiburg,Poetry Slam Freiburg,10.0,15.0,günstig,Adults,unknown,Nein,None,Herbst,Freiburg,Ja
Summer Night Cinema im Schwarzen Kloster Freiburg,"2025-06-28 bis 2025-09-07, abends",Open-Air Kino,12 €,"Schwarzes Kloster Innenhof, Freiburg",alle Altersgruppen,Filmfans & Sommerpublikum,@sommernachtskino,Sommernachtskino Freiburg,12.0,12.0,günstig,unknown,unknown,Nein,None,Sommer,Freiburg,Ja
22 Bahnen Kinoveranstaltungen,2025-09-14 bis 2025-09-17,Kino / Filmvorführung,5-12 €,"CinemaxX & Kandelhof Kino, Freiburg",18-60,Kino- & Filmpublikum,@koki_freiburg,Kommunales Kino Freiburg,5.0,12.0,günstig,Midlife,unknown,Nein,None,Herbst,Freiburg,Ja
PDC Swiss Darts Trophy,2025-09-26 bis 2025-09-28,Sport / Wettbewerb,30-80 CHF,"St. Jakobshalle, Basel",20-50,Sportfans & Zuschauer,@officialpdc,PDC Europe,30.0,80.0,teuer,Midlife,unknown,Nein,None,Herbst,Basel,Ja
Simon & Garfunkel Tribute Concert,2025-10-17 19:30,Konzert / Tribute Show,40-80 CHF,Stadtcasino Basel,30-70,Konzert- & Musikfans,@stadtcasino_basel,Stadtcasino Basel,40.0,80.0,teuer,Senior/All Ages,unknown,Nein,None,Herbst,Basel,Ja
Mona Vetsch & Tom Gisler: Im mittleren Alter,2025-10-25 20:00,Bühne / Humor / Talkshow,30-60 CHF,Volkshaus Basel,30-65,Kabarett- & Kulturpublikum,@volkshausbasel,Volkshaus Basel,30.0,60.0,teuer,Senior/All Ages,unknown,Nein,None,Herbst,Basel,Ja
Kommunales Kino Freiburg – Filmprogramm,2025-09-27 bis 2025-09-28,Filmfestival / Kino,8-12 €,"Kommunales Kino, Freiburg",18-60,Film- & Kulturpublikum,@koki_freiburg,Kommunales Kino Freiburg,8.0,12.0,günstig,Midlife,>10000,Nein,Multigenre,Herbst,Freiburg,Ja
Baloise Session Basel,2025-10-15 bis 2025-11-05,Musikfestival / Clubkonzerte,50-150 CHF,Basel,20-65,Festival- & Musikliebhaber,@baloisesession,Baloise Session,50.0,150.0,teuer,Senior/All Ages,>10000,Nein,Multigenre,Herbst,Basel,Ja
Canoë-Kayak Mulhouse Riedisheim Session,"Sommer 2025, abends (flexibel)",Outdoor / Kanu & Kayak,15-30 €,"Mulhouse-Riedisheim, Frankreich",12-50,Outdoor- & Wassersport-Fans,@canoekayakmulhouse,Canoë-Kayak Club Mulhouse Riedisheim,15.0,30.0,mittel,Midlife,unknown,Nein,None,unknown,unknown,Nein
Parc des Eaux Vives Huningue Wildwasser,Sommer 2025 (regelmäßig),Wildwasser / Kanu / Kayak,20-40 €,"Parc des Eaux Vives, Huningue",12-50,Wildwasser-Sportler,@parc_eaux_vives,Parc des Eaux Vives Huningue,20.0,40.0,mittel,Midlife,unknown,Nein,None,unknown,unknown,Nein
Bloodere Clique Lörrach – Fasnachtsumzug,2026-02-23 bis 2026-02-25,Fasnacht / Umzug,kostenlos,Innenstadt Lörrach,alle Altersgruppen,Fasnacht- & Brauchtumsfans,@bloodereclique,Bloodere Clique Lörrach,,,teuer,unknown,300-2000,Nein,None,Winter,Lörrach/Weil,Ja
Storchen-Clique Hauingen – Fasnachtsauftritt,2026-02-23 bis 2026-02-25,Fasnacht / Umzug / Straßenfest,kostenlos,Hauingen (Lörrach),alle Altersgruppen,Tradition & Fasnacht,@storchencliquehauingen,Storchen-Clique Hauingen e.V.,,,teuer,unknown,300-2000,Nein,None,Winter,Lörrach/Weil,Ja
Brunnenputzer Lörrach – Fasnacht,2026-02-23 bis 2026-02-25,Fasnacht / Straßenumzug,kostenlos,Innenstadt Lörrach,alle Altersgruppen,Fasnacht- & Brauchtum,@brunnenputzer,Brunnenputzer Lörrach,,,teuer,unknown,300-2000,Nein,None,Winter,Lörrach/Weil,Ja
Bloodere Clique Lörrach – Fasnachtsumzug,2026-02-23 bis 2026-02-25,Fasnacht / Umzug / Straßenfest,kostenlos,Innenstadt Lörrach & Ortsteile,alle Altersgruppen,Fasnacht- & Brauchtumsfans,,Bloodere Clique Lörrach,,,teuer,unknown,300-2000,Nein,None,Winter,Lörrach/Weil,Ja
Brunnenputzer Lörrach – Fasnachtsumzug,2026-02-23 bis 2026-02-25,Fasnacht / Umzug / Straßenfest,kostenlos,Innenstadt Lörrach & Ortsteile,alle Altersgruppen,Fasnacht- & Brauchtumsfans,,Brunnenputzer Lörrach,,,teuer,unknown,300-2000,Nein,None,Winter,Lörrach/Weil,Ja
Clunggi Haltingen – Fasnachtsumzug,2026-02-23 bis 2026-02-25,Fasnacht / Umzug / Straßenfest,kostenlos,Innenstadt Lörrach & Ortsteile,alle Altersgruppen,Fasnacht- & Brauchtumsfans,,Clunggi Haltingen,,,teuer,unknown,300-2000,Nein,None,Winter,Lörrach/Weil,Ja
Alti Fabriknäscht Cligge Friedlingen – Fasnachtsumzug,2026-02-23 bis 2026-02-25,Fasnacht / Umzug / Straßenfest,kostenlos,Innenstadt Lörrach & Ortsteile,alle Altersgruppen,Fasnacht- & Brauchtumsfans,,Alti Fabriknäscht Cligge Friedlingen,,,teuer,unknown,300-2000,Nein,None,Winter,Lörrach/Weil,Ja
Altwiiler Räbbuure – Fasnachtsumzug,2026-02-23 bis 2026-02-25,Fasnacht / Umzug / Straßenfest,kostenlos,Innenstadt Lörrach & Ortsteile,alle Altersgruppen,Fasnacht- & Brauchtumsfans,,Altwiiler Räbbuure,,,teuer,unknown,300-2000,Nein,None,Winter,Lörrach/Weil,Ja
Auggener Räbchnurre – Fasnachtsumzug,2026-02-23 bis 2026-02-25,Fasnacht / Umzug / Straßenfest,kostenlos,Innenstadt Lörrach & Ortsteile,alle Altersgruppen,Fasnacht- & Brauchtumsfans,,Auggener Räbchnurre,,,teuer,unknown,300-2000,Nein,None,Winter,Lörrach/Weil,Ja
Bachratte Eimeldingen – Fasnachtsumzug,2026-02-23 bis 2026-02-25,Fasnacht / Umzug / Straßenfest,kostenlos,Innenstadt Lörrach & Ortsteile,alle Altersgruppen,Fasnacht- & Brauchtumsfans,,Bachratte Eimeldingen,,,teuer,unknown,300-2000,Nein,None,Winter,Lörrach/Weil,Ja
Bärebrummer Friedlingen – Fasnachtsumzug,2026-02-23 bis 2026-02-25,Fasnacht / Umzug / Straßenfest,kostenlos,Innenstadt Lörrach & Ortsteile,alle Altersgruppen,Fasnacht- & Brauchtumsfans,,Bärebrummer Friedlingen,,,teuer,unknown,300-2000,Nein,None,Winter,Lörrach/Weil,Ja
Baumfrevler Maulburg – Fasnachtsumzug,2026-02-23 bis 2026-02-25,Fasnacht / Umzug / Straßenfest,kostenlos,Innenstadt Lörrach & Ortsteile,alle Altersgruppen,Fasnacht- & Brauchtumsfans,,Baumfrevler Maulburg,,,teuer,unknown,300-2000,Nein,None,Winter,Lörrach/Weil,Ja
Beelze Buebe Kandern – Fasnachtsumzug,2026-02-23 bis 2026-02-25,Fasnacht / Umzug / Straßenfest,kostenlos,Innenstadt Lörrach & Ortsteile,alle Altersgruppen,Fasnacht- & Brauchtumsfans,,Beelze Buebe Kandern,,,teuer,unknown,300-2000,Nein,None,Winter,Lörrach/Weil,Ja
Belchengeister & Chäsliwieber Münstertal – Fasnachtsumzug,2026-02-23 bis 2026-02-25,Fasnacht / Umzug / Straßenfest,kostenlos,Innenstadt Lörrach & Ortsteile,alle Altersgruppen,Fasnacht- & Brauchtumsfans,,Belchengeister & Chäsliwieber Münstertal,,,teuer,unknown,300-2000,Nein,None,Winter,Lörrach/Weil,Ja
Storchen-Clique Hauingen – Fasnachtsumzug,2026-02-23 bis 2026-02-25,Fasnacht / Umzug / Straßenfest,kostenlos,Innenstadt Lörrach & Ortsteile,alle Altersgruppen,Fasnacht- & Brauchtumsfans,,Storchen-Clique Hauingen,,,teuer,unknown,300-2000,Nein,None,Winter,Lörrach/Weil,Ja
Hauinger Buurefasnacht – Fasnachtsumzug,2026-02-23 bis 2026-02-25,Fasnacht / Umzug / Straßenfest,kostenlos,Innenstadt Lörrach & Ortsteile,alle Altersgruppen,Fasnacht- & Brauchtumsfans,,Hauinger Buurefasnacht,,,teuer,unknown,300-2000,Nein,None,Winter,Lörrach/Weil,Ja
BläachGuggeFätzzer Altenstadt – Fasnachtsumzug,2026-02-23 bis 2026-02-25,Fasnacht / Umzug / Straßenfest,kostenlos,Innenstadt Lörrach & Ortsteile,alle Altersgruppen,Fasnacht- & Brauchtumsfans,,BläachGuggeFätzzer Altenstadt,,,teuer,unknown,300-2000,Nein,None,Winter,Lörrach/Weil,Ja
Blech-Beat Gugge – Fasnachtsumzug,2026-02-23 bis 2026-02-25,Fasnacht / Umzug / Straßenfest,kostenlos,Innenstadt Lörrach & Ortsteile,alle Altersgruppen,Fasnacht- & Brauchtumsfans,,Blech-Beat Gugge,,,teuer,unknown,300-2000,Nein,None,Winter,Lörrach/Weil,Ja
Chanderner Geisse – Fasnachtsumzug,2026-02-23 bis 2026-02-25,Fasnacht / Umzug / Straßenfest,kostenlos,Innenstadt Lörrach & Ortsteile,alle Altersgruppen,Fasnacht- & Brauchtumsfans,,Chanderner Geisse,,,teuer,unknown,300-2000,Nein,None,Winter,Lörrach/Weil,Ja
Chanderner Hexe – Fasnachtsumzug,2026-02-23 bis 2026-02-25,Fasnacht / Umzug / Straßenfest,kostenlos,Innenstadt Lörrach & Ortsteile,alle Altersgruppen,Fasnacht- & Brauchtumsfans,,Chanderner Hexe,,,teuer,unknown,300-2000,Nein,None,Winter,Lörrach/Weil,Ja
Chanderner Werwölf – Fasnachtsumzug,2026-02-23 bis 2026-02-25,Fasnacht / Umzug / Straßenfest,kostenlos,Innenstadt Lörrach & Ortsteile,alle Altersgruppen,Fasnacht- & Brauchtumsfans,,Chanderner Werwölf,,,teuer,unknown,300-2000,Nein,None,Winter,Lörrach/Weil,Ja
Binzemer Narre – Fasnachtsumzug,2026-02-23 bis 2026-02-25,Fasnacht / Umzug / Straßenfest,kostenlos,Innenstadt Lörrach & Ortsteile,alle Altersgruppen,Fasnacht- & Brauchtumsfans,,Binzemer Narre,,,teuer,unknown,300-2000,Nein,None,Winter,Lörrach/Weil,Ja
Märchenwald-Hexen – Fasnachtsumzug,2026-02-23 bis 2026-02-25,Fasnacht / Umzug / Straßenfest,kostenlos,Innenstadt Lörrach & Ortsteile,alle Altersgruppen,Fasnacht- & Brauchtumsfans,,Märchenwald-Hexen,,,teuer,unknown,300-2000,Nein,None,Winter,Lörrach/Weil,Ja
Lörracher Weihnachtsmarkt,2025-12-04 bis 2025-12-14,Weihnachtsmarkt / Advent,kostenlos,"Alter Marktplatz, Senser Platz, Hebelpark, Lörrach",alle Altersgruppen,Weihnachtsmarkt-Besucher,@stadt.loerrach,Stadt Lörrach,,,teuer,unknown,300-2000,Nein,None,Winter,Lörrach/Weil,Ja
Baden in Blut Metal Open Air,2025-07-17 bis 2025-07-19,Musikfestival / Metal / Rock,60-120 €,Weil am Rhein,18-50,Festival- & Metal-Fans,@badeninblut,Baden in Blut Festival e.V.,60.0,120.0,teuer,Midlife,>10000,Nein,Multigenre,Sommer,Lörrach/Weil,Ja
FRIAS Freiburger Horizonte Vortragsreihe,2025 (quartalsweise),Wissenschaft / Vortrag / Public Lecture,kostenlos,Universität Freiburg,20-80,Studierende & Öffentlichkeit,@uni_freiburg,FRIAS – Freiburg Institute for Advanced Studies,,,teuer,Senior/All Ages,unknown,Nein,None,unknown,Freiburg,Ja
Global Studies Lecture – Prof. Walter Mignolo,2025-05-28 18:00,Akademischer Vortrag / Global Studies,kostenlos,"HS 1098, Universität Freiburg",20-70,Studierende & Wissenschaftsinteressierte,@uni_freiburg,Global Studies Programme Freiburg,,,teuer,Senior/All Ages,unknown,Ja,Swing/Balboa,Frühling,Freiburg,Ja
FamilyTour – Abenteuer Baumkronenweg Waldkirch,2025-11-09 12:45-17:30,Outdoor / Familienevent,15-30 €,"Baumkronenweg, Waldkirch",6-60,Familien & Outdoor-Fans,@swfr_freiburg,SWFR Freiburg,15.0,30.0,mittel,Midlife,unknown,Nein,None,Herbst,unknown,Nein
Narrenzunft Lörrach 1936 – Zunftabende & Umzüge,2026-02-04 bis 2026-02-25,Fasnacht / Vereinsveranstaltungen,kostenlos,Alte Halle Haagen & Innenstadt Lörrach,alle Altersgruppen,Fasnacht & Vereinsfreunde,@narrenzunft.loerrach,Narrenzunft Lörrach 1936 e.V.,,,teuer,unknown,300-2000,Nein,None,Winter,Lörrach/Weil,Ja
Weihnachtsmarkt Weil am Rhein,2025-11-29 bis 2025-12-01,Weihnachtsmarkt / Advent,kostenlos,"Lindenplatz, Alt-Weil, Weil am Rhein",alle Altersgruppen,Weihnachtsmarktbesucher,@stadt_weilamrhein,Stadt Weil am Rhein,,,teuer,unknown,300-2000,Nein,None,Herbst,Lörrach/Weil,Ja
Weihnachtsmärkte Südbaden 2025,2025-11-27 bis 2025-12-23,Weihnachtsmärkte / Winterevents,kostenlos,"Region Südbaden (u.a. Lörrach, Freiburg, Rheinfelden)",alle Altersgruppen,Winter- & Weihnachtsmarktbesucher,@visitbawu,Tourismus Baden-Württemberg,,,teuer,unknown,300-2000,Nein,None,Herbst,Freiburg,Ja
Burghof Lörrach – Abdelkarim: Plan Z,2025-10-18 20:00,Kabarett / Comedy Show,25-40 €,Burghof Lörrach,20-60,Kabarett- & Comedyfans,@burghofloerrach,Burghof Lörrach GmbH,25.0,40.0,mittel,Midlife,unknown,Nein,None,Herbst,Lörrach/Weil,Ja
Weindorf Lörrach,2025-06-18 bis 2025-06-21,Weinfest / Genuss & Social,kostenlos (Essen/Trinken extra),"Alter Markt, Lörrach",18-70,Weinliebhaber & Kulturfreunde,@stadt.loerrach,Stadt Lörrach,,,teuer,Senior/All Ages,50-200,Nein,None,Sommer,Lörrach/Weil,Ja
Weinmarkt Tüllingen Lörrach,2025-09-07,Weinmarkt / Markt & Genuss,kostenlos (Essen/Trinken extra),"Ortskern Tüllingen, Lörrach",18-70,Wein- & Genussfreunde,@stadt.loerrach,Stadtteilverein Tüllingen,,,teuer,Senior/All Ages,unknown,Nein,None,Herbst,Lörrach/Weil,Ja
Canoë-Kayak Mulhouse Riedisheim – Portes Ouvertes,2025-09-03 & 2025-09-06,Outdoor / Kanu & Kayak,kostenlos,"Base Canoë-Kayak, Riedisheim (Mulhouse)",12-50,Outdoor- & Wassersportfans,@canoekayakmulhouse,Canoë-Kayak Club Mulhouse Riedisheim,,,teuer,Midlife,unknown,Nein,None,Herbst,unknown,Nein
Canoë-Kayak Mulhouse – Explor’Assos,2025-09-07,Outdoor / Kanu & Sport,kostenlos,"Riedisheim, Mulhouse",12-50,Sportinteressierte & Familien,@canoekayakmulhouse,Base Canoë-Kayak Riedisheim,,,teuer,Midlife,unknown,Nein,None,Herbst,unknown,Nein
Weihnachtsmarkt Freiburg,2025-11-20 bis 2025-12-23,Weihnachtsmarkt / Advent,kostenlos,Innenstadt Freiburg,alle Altersgruppen,Weihnachtsmarkt-Besucher,@freiburg_de,Stadt Freiburg,,,teuer,unknown,300-2000,Nein,None,Herbst,Freiburg,Ja
Herdermer Weihnachtsmarkt Freiburg,2025-12 (genaues Datum folgt),Weihnachtsmarkt / Advent,kostenlos,"Kirchplatz Herdern, Freiburg",alle Altersgruppen,Stadtteilbewohner & Weihnachtsmarktfreunde,@freiburg_de,Gemeinde Herdern Freiburg,,,teuer,unknown,300-2000,Nein,None,unknown,Freiburg,Ja
Basel Fasnacht 2026,2026-02-23 bis 2026-02-25,Fasnacht / Karneval,kostenlos,Innenstadt Basel,alle Altersgruppen,Fasnacht- & Brauchtumsfans,@baslerfasnacht,Comité Basler Fasnacht,,,teuer,unknown,300-2000,Nein,None,Winter,Basel,Ja
Jazz am See Titisee,2025-07-12 19:00,Jazz Konzert / Open Air,20-40 €,"Titisee, Schwarzwald",20-70,Jazz- & Musikliebhaber,@hochschwarzwald,Kulturverein Hochschwarzwald,20.0,40.0,mittel,Senior/All Ages,unknown,Nein,None,Sommer,unknown,Nein
