event-name,start_datetime,end_datetime,recurrence_rule,date_description,event-type,dance_focus,dance_style,price_min,price_max,currency,pricing_type,price_category,audience_min,audience_max,audience_size_bucket,age_min,age_max,age_group_label,event-location,region,season,cross_border_potential,user-category,organizer,instagram,event_link,event_link_fit,description,event_date,event_time,weekday,month,country,city,latitude,longitude
Unternehmen Mitte Salsa Social,2025-09-18 19:00:00,,,,Salsa/Bachata Social Dance,Ja,Salsa/Bachata/Kizomba,10.0,10.0,CHF,paid,mid,50.0,200.0,medium (100–500),20.0,40.0,All Ages,"Unternehmen Mitte, Basel",Basel (CH),Autumn,Ja,Latin Dance Community,Salsa Basel Community,https://www.instagram.com/unternehmenmitte/,https://mitte.ch/en/program/afternoon-salsa-social/,0.9,"Unternehmen Mitte Salsa Social findet in Unternehmen Mitte, Basel, Basel statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-18,19:00,Thursday,9.0,CH,Basel,47.5596,7.5886
KC Afterwork Salsa,2025-09-18 19:00:00,,,,Afterwork Salsa/Bachata,Ja,Salsa/Bachata/Kizomba,10.0,10.0,EUR,paid,mid,,,unknown,25.0,45.0,All Ages,Lörrach,Lörrach (DE),Autumn,Ja,Afterwork & Tanz Community,KC Afterwork Lörrach,https://www.instagram.com/kcafterwork/,https://kcdancestudio.com/events/,0.2,"KC Afterwork Salsa findet in Lörrach, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-18,19:00,Thursday,9.0,DE,Lörrach,47.615,7.6646
Tanzschule Neugebauer Übungsabend,2025-09-18 20:00:00,,,,Standard/Latein Social Dance,Ja,Standard/Latein,8.0,12.0,EUR,paid,low,50.0,200.0,medium (100–500),20.0,60.0,All Ages,"TSNL, Lörrach",Lörrach (DE),Autumn,Ja,Paartanz-Community,Tanzschule Neugebauer,https://www.instagram.com/tsnl_loerrach/,https://tsnl.de/uebungsabend/,0.3,"Tanzschule Neugebauer Übungsabend findet in TSNL, Lörrach, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-18,20:00,Thursday,9.0,DE,Lörrach,47.615,7.6646
Siebenschritt Bal Folk Ball,,,,vierteljährlich Samstags,Bal Folk Tanzball,Ja,Swing/Balboa,15.0,25.0,EUR,paid,mid,50.0,200.0,medium (100–500),25.0,60.0,All Ages,Freiburg,Freiburg (DE),,Ja,Bal Folk Community,Siebenschritt e.V.,https://www.instagram.com/siebenschritt_freiburg/,https://7schritt.de/veranstaltungen/,0.3,"Siebenschritt Bal Folk Ball findet in Freiburg, Freiburg statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",NaT,,,,DE,Freiburg,47.999,7.8421
Swing-in’ Freiburg Social,2025-09-18 20:00:00,,,,Swing/Lindy Hop Social Dance,Ja,Swing/Balboa,10.0,10.0,EUR,paid,mid,50.0,200.0,medium (100–500),20.0,45.0,All Ages,Freiburg,Freiburg (DE),Autumn,Ja,Swingtanz-Community,Swing-in’ Freiburg,https://www.instagram.com/swinginfreiburg/,https://www.swinginfreiburg.de/events/,0.3,"Swing-in’ Freiburg Social findet in Freiburg, Freiburg statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-18,20:00,Thursday,9.0,DE,Freiburg,47.999,7.8421
Tanzschule Gutmann Late Night,2025-09-18 21:00:00,,,,Multigenre Social Dance,Ja,None,10.0,15.0,EUR,paid,mid,50.0,200.0,medium (100–500),20.0,40.0,All Ages,"Tanzschule Gutmann, Freiburg",Freiburg (DE),Autumn,Ja,Tanzschul-Community,Tanzschule Gutmann,https://www.instagram.com/tanzschulegutmann/,https://www.tanzschule-gutmann.de/event/tag-der-offenen-tuer/,0.9,"Tanzschule Gutmann Late Night findet in Tanzschule Gutmann, Freiburg, Freiburg statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-18,21:00,Thursday,9.0,DE,Freiburg,47.999,7.8421
Jazzhaus Freiburg 80s Party,2025-09-18 23:00:00,,,,80er Tanznacht,Ja,None,12.0,18.0,EUR,paid,mid,300.0,2000.0,large (>500),25.0,50.0,All Ages,Jazzhaus Freiburg,Freiburg (DE),Autumn,Ja,"80er Fans, Clubgäste",Jazzhaus Freiburg,https://www.instagram.com/jazzhausfreiburg/,https://www.jazzhaus.de/programm/2025-09-27-connected-5475.html,0.9,"Jazzhaus Freiburg 80s Party findet in Jazzhaus Freiburg, Freiburg statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-18,23:00,Thursday,9.0,DE,Freiburg,47.9969,7.8491
Museumsnacht Basel,2026-01-18 00:00:00,,,,Kulturelles Stadtfestival,Nein,Multigenre,25.0,25.0,CHF,paid,mid,10000.0,,large (>500),20.0,65.0,All Ages,Museen Basel,Basel (CH),Winter,Ja,Kultur- & Social-Community,Museen Basel,https://www.instagram.com/museumsnachtbasel/,https://museumsnacht.ch/en/,0.3,"Museumsnacht Basel findet in Museen Basel, Basel statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-01-18,00:00,Sunday,1.0,CH,Basel,47.5596,7.5886
Die 10 Gebote – Ein Pop-Oratorium,2025-09-21 19:00:00,,,,Musical / Konzert,Nein,None,32.0,32.0,EUR,paid,high,,,unknown,20.0,55.0,All Ages,Burghof Lörrach,Lörrach (DE),Autumn,Ja,Musical & Konzert Publikum,Burghof Lörrach GmbH,https://www.instagram.com/burghof/,https://www.burghof.com/en/programm/,0.8,"Die 10 Gebote – Ein Pop-Oratorium findet in Burghof Lörrach, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-21,19:00,Sunday,9.0,DE,Lörrach,47.6132,7.6627
Kammerorchester Basel – Philosophen und Poeten,2025-09-20 19:30:00,,,,Klassik Konzert,Nein,None,40.0,80.0,CHF,paid,high,,,unknown,30.0,65.0,All Ages,"Don Bosco, Basel",Basel (CH),Autumn,Ja,Klassik-Publikum,Kammerorchester Basel,https://www.instagram.com/kammerorchesterbasel/,https://www.kob-abo.ch/,0.9,"Kammerorchester Basel – Philosophen und Poeten findet in Don Bosco, Basel, Basel statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-20,19:30,Saturday,9.0,CH,Basel,47.5596,7.5886
YARD 2025 – Kunstmuseum Basel,2025-08-18 00:00:00,,,,Kunst & Musik Open-Air,Nein,None,,,CHF,,,,,unknown,18.0,50.0,All Ages,Kunstmuseum Basel,Basel (CH),Summer,Ja,Kultur- & Musik-Community,Kunstmuseum Basel,https://www.instagram.com/kunstmuseumbasel/,https://kunstmuseumbasel.ch/de/yard,0.9,"YARD 2025 – Kunstmuseum Basel findet in Kunstmuseum Basel, Basel statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-08-18,00:00,Monday,8.0,CH,Basel,47.5596,7.5886
Mobilär Dayrave powered by Energy,2025-09-20 00:00:00,,,,Elektronische Musik / Dayrave,Nein,None,30.0,60.0,CHF,paid,mid,,,unknown,18.0,35.0,Adults,"Park Lange Erlen, Basel",Basel (CH),Autumn,Ja,EDM & Party Crowd,Energy Events,https://www.instagram.com/energych/,https://eventfrog.ch/en/p/party/house-techno/mobiliar-dayrave-open-air-powered-by-radio-energy-7328349695767479419.html,0.7000000000000001,"Mobilär Dayrave powered by Energy findet in Park Lange Erlen, Basel, Basel statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-20,00:00,Saturday,9.0,CH,Basel,47.5596,7.5886
Esteriore Brothers Live,2025-09-23 20:00:00,,,,Pop Konzert,Nein,None,40.0,90.0,CHF,paid,high,,,unknown,20.0,50.0,All Ages,Stadtcasino Basel,Basel (CH),Autumn,Ja,Popmusik Fans,Stadtcasino Basel,https://www.instagram.com/estetiorebrothers/,https://www.jambase.com/show/esteriore-brothers-rosentalanlage-20250923,0.2,"Esteriore Brothers Live findet in Stadtcasino Basel, Basel statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-23,20:00,Tuesday,9.0,CH,Basel,47.5596,7.5886
Lisette Spinnler Quintet – Roche 'n' Jazz,2025-09-26 16:00:00,,,,Jazz Konzert,Nein,None,15.0,20.0,CHF,paid,mid,,,unknown,30.0,60.0,All Ages,"Museum Tinguely, Basel",Basel (CH),Autumn,Ja,Jazz & Kulturpublikum,Museum Tinguely,https://www.instagram.com/museumtinguely/,https://www.tinguely.ch/en/events/roche-n-jazz-lisette-spinnler-quintet-26-09-2025-16h00-26-09-2025-18h00.html,0.3,"Lisette Spinnler Quintet – Roche 'n' Jazz findet in Museum Tinguely, Basel, Basel statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-26,16:00,Friday,9.0,CH,Basel,47.5596,7.5886
Nellies Tanztee,2025-09-18 15:00:00,,,,Tanztee / Social,Ja,None,0.0,0.0,EUR,free,low,50.0,200.0,medium (100–500),40.0,70.0,40+,"Nellie Nashorn, Lörrach",Lörrach (DE),Autumn,Ja,Soziokultur & Generation 40+,Nellie Nashorn,https://www.instagram.com/nellie.nashorn/,https://nellie-nashorn.de/wp/,0.3,"Nellies Tanztee findet in Nellie Nashorn, Lörrach, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-18,15:00,Thursday,9.0,DE,Lörrach,47.615,7.6646
Burgfestspiele Rötteln – Tartuffe der Betrüger,2025-06-20 20:25:00,,,,Theater / Freilichtspiel,Nein,None,25.0,45.0,EUR,paid,mid,,,unknown,25.0,65.0,All Ages,"Burg Rötteln, Lörrach",Lörrach (DE),Summer,Ja,Theater- & Kulturpublikum,Burgfestspiele Rötteln,https://www.instagram.com/burgruine_roetteln/,https://burgfestspiele-roetteln.de/stueck/,0.3,"Burgfestspiele Rötteln – Tartuffe der Betrüger findet in Burg Rötteln, Lörrach, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-06-20,20:25,Friday,6.0,DE,Lörrach,47.615,7.6646
1. Mai Hock auf Rötteln,2025-05-01 00:00:00,,,,Volksfest / Outdoor,Nein,None,,,EUR,,,,,unknown,,,All Ages,"Burg Rötteln, Lörrach",Lörrach (DE),Spring,Ja,Familien & Stadtbevölkerung,Burg Rötteln Verein,https://www.instagram.com/burgruine_roetteln/,https://www.loerrach.de/veranstaltungen,0.9,"1. Mai Hock auf Rötteln findet in Burg Rötteln, Lörrach, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-05-01,00:00,Thursday,5.0,DE,Lörrach,47.615,7.6646
Rheinfelden Cityfest,2025-06-19 20:25:00,,,,Stadtfest / Musik & Markt,Nein,None,,,,,,,,unknown,,,All Ages,Innenstadt Rheinfelden,unknown,Summer,Nein,Community / Stadtfestbesucher,Stadt Rheinfelden,https://www.instagram.com/rheinfeldenbaden/,https://www.basel.com/en/events,0.8,"Rheinfelden Cityfest findet in Innenstadt Rheinfelden, nan statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-06-19,20:25,Thursday,6.0,,,,
Märkte Innenstadt Rheinfelden,2025-09-05 20:25:00,,,,Markt / Stadtleben,Nein,None,,,,,,,,unknown,,,All Ages,Innenstadt Rheinfelden,unknown,Autumn,Nein,Marktbesucher,Stadt Rheinfelden,https://www.instagram.com/rheinfeldenbaden/,https://www.basel.com/en/events,0.8,"Märkte Innenstadt Rheinfelden findet in Innenstadt Rheinfelden, nan statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-05,20:25,Friday,9.0,,,,
AUREA Jukebox Night,2025-09-18 19:00:00,,,,Musiknacht / Bar-Event,Nein,None,15.0,25.0,CHF,paid,mid,300.0,2000.0,large (>500),20.0,45.0,All Ages,"AUREA, Rheinfelden",unknown,Autumn,Nein,Bar- & Clubgänger,AUREA Rheinfelden,https://www.instagram.com/aurea_rheinfelden/,https://www.basel.com/en/events,0.8,"AUREA Jukebox Night findet in AUREA, Rheinfelden, nan statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-18,19:00,Thursday,9.0,,,,
Schnitzelbank-Abend,2025-09-19 19:30:00,,,,Unterhaltung / Restaurant-Abend,Nein,None,20.0,30.0,CHF,paid,mid,,,unknown,30.0,70.0,All Ages,"Restaurant Schiff, Rheinfelden",unknown,Autumn,Nein,Lokalbesucher,Restaurant Schiff Rheinfelden,https://www.instagram.com/restaurant_schiff_rheinfelden/,https://www.basel.com/en/events,0.8,"Schnitzelbank-Abend findet in Restaurant Schiff, Rheinfelden, nan statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-19,19:30,Friday,9.0,,,,
Konzert Projektchor CHORTUS,2025-09-21 17:00:00,,,,Chor-Konzert,Nein,None,15.0,25.0,CHF,paid,mid,,,unknown,30.0,70.0,All Ages,Kapuzinerkirche Rheinfelden,unknown,Autumn,Nein,Chormusik- & Kulturfans,Projektchor CHORTUS,https://www.instagram.com/chortrus_rheinfelden/,https://www.basel.com/en/events,0.8,"Konzert Projektchor CHORTUS findet in Kapuzinerkirche Rheinfelden, nan statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-21,17:00,Sunday,9.0,,,,
Theater Freiburg – Wasserwelt. Das Musical,2025-09-26 20:00:00,,,,Musical / Theater,Nein,None,25.0,60.0,EUR,paid,mid,,,unknown,18.0,60.0,All Ages,Theater Freiburg,Freiburg (DE),Autumn,Ja,Musical- & Theaterfans,Theater Freiburg,https://www.instagram.com/theaterfreiburg/,https://www.freiburg.de/pb/1176329.html,0.3,"Theater Freiburg – Wasserwelt. Das Musical findet in Theater Freiburg, Freiburg statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-26,20:00,Friday,9.0,DE,Freiburg,47.9959,7.8522
Räng Slam Freiburg,2025-09-10 20:00:00,,,,Poetry Slam / Spoken Word,Nein,None,10.0,15.0,EUR,paid,mid,,,unknown,18.0,45.0,All Ages,"Räng Teng Teng, Freiburg",Freiburg (DE),Autumn,Ja,Poetry Slam Fans,Poetry Slam Freiburg,https://www.instagram.com/poetryslamfreiburg/,https://www.freiburg.de/pb/1176329.html,0.3,"Räng Slam Freiburg findet in Räng Teng Teng, Freiburg, Freiburg statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-10,20:00,Wednesday,9.0,DE,Freiburg,47.999,7.8421
Atlantik Slam Freiburg,2025-09-18 20:00:00,,,,Poetry Slam / Open Stage,Nein,None,10.0,15.0,EUR,paid,mid,,,unknown,18.0,45.0,All Ages,"Café Atlantik, Freiburg",Freiburg (DE),Autumn,Ja,Poetry Slam Fans,Poetry Slam Freiburg,https://www.instagram.com/cafeatlantikfreiburg/,https://www.freiburg.de/pb/1176329.html,0.3,"Atlantik Slam Freiburg findet in Café Atlantik, Freiburg, Freiburg statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-18,20:00,Thursday,9.0,DE,Freiburg,47.999,7.8421
Kommunales Kino Freiburg – HerStories: arabische Filmpionierinnen,2025-09-12 20:25:00,,,,Filmfestival / Kino / Panel,Nein,Multigenre,8.0,12.0,EUR,paid,low,10000.0,,large (>500),18.0,60.0,All Ages,"Kommunales Kino, Freiburg",Freiburg (DE),Autumn,Ja,Film- & Kulturpublikum,Kommunales Kino Freiburg,https://www.instagram.com/koki_freiburg/,https://www.freiburg.de/pb/1176329.html,0.3,"Kommunales Kino Freiburg – HerStories: arabische Filmpionierinnen findet in Kommunales Kino, Freiburg, Freiburg statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-12,20:25,Friday,9.0,DE,Freiburg,47.999,7.8421
Sommernachtskino im Schwarzen Kloster,2025-06-26 20:25:00,,,,Open-Air Kino,Nein,None,8.0,12.0,EUR,paid,low,,,unknown,,,All Ages,"Innenhof Schwarzes Kloster, Freiburg",Freiburg (DE),Summer,Ja,Filmfans & Sommerpublikum,Sommernachtskino Freiburg,https://www.instagram.com/sommernachtskino/,https://www.freiburg.de/pb/1176329.html,0.3,"Sommernachtskino im Schwarzen Kloster findet in Innenhof Schwarzes Kloster, Freiburg, Freiburg statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-06-26,20:25,Thursday,6.0,DE,Freiburg,47.999,7.8421
Internationales Sommerfest Lörrach,2025-07-12 10:00:00,,,,Stadtfest / Kultur / Musik & Markt,Nein,None,,,EUR,,,500.0,5000.0,large (>500),,,All Ages,"Alter Marktplatz, Lörrach",Lörrach (DE),Summer,Ja,"Stadtbevölkerung, Kulturfreunde",Stadt Lörrach,https://www.instagram.com/stadt.loerrach/,https://www.loerrach.de/veranstaltungen,0.9,"Internationales Sommerfest Lörrach findet in Alter Marktplatz, Lörrach, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-07-12,10:00,Saturday,7.0,DE,Lörrach,47.615,7.6646
