event-name,event-datetime,event-type,price,event-location,user-age,user-category,instagram,organizer,price_numeric_min,price_numeric_max,price_category,age_group_label,audience_size_estimate,dance_focus,dance_style,season,region,cross_border_potential
1. Mai Hock auf Rötteln,2025-05-01,Volksfest / Outdoor,kostenlos,"Burg Rötteln, Lörrach",alle Altersgruppen,Familien & Stadtbevölkerung,@burgruine_roetteln,Burg Rötteln Verein,,,teuer,unknown,unknown,Nein,None,Frühling,Lörrach/Weil,Ja
Rheinfelden Cityfest,2025-06-19 bis 2025-06-22,Stadtfest / Musik & Markt,kostenlos,Innenstadt Rheinfelden,alle Altersgruppen,Community / Stadtfestbesucher,@rheinfeldenbaden,Stadt Rheinfelden,,,teuer,unknown,unknown,Nein,None,Sommer,unknown,Nein
Märkte Innenstadt Rheinfelden,2025-09-05 bis 2025-09-07,Markt / Stadtleben,kostenlos,Innenstadt Rheinfelden,alle Altersgruppen,Marktbesucher,@rheinfeldenbaden,Stadt Rheinfelden,,,teuer,unknown,unknown,Nein,None,Herbst,unknown,Nein
AUREA Jukebox Night,2025-09-18 19:00,Musiknacht / Bar-Event,15-25 CHF,"AUREA, Rheinfelden",20-45,Bar- & Clubgänger,@aurea_rheinfelden,AUREA Rheinfelden,15.0,25.0,mittel,Midlife,300-2000,Nein,None,Herbst,unknown,Nein
Schnitzelbank-Abend,2025-09-19 19:30,Unterhaltung / Restaurant-Abend,20-30 CHF,"Restaurant Schiff, Rheinfelden",30-70,Lokalbesucher,@restaurant_schiff_rheinfelden,Restaurant Schiff Rheinfelden,20.0,30.0,mittel,Senior/All Ages,unknown,Nein,None,Herbst,unknown,Nein
Konzert Projektchor CHORTUS,2025-09-21 17:00,Chor-Konzert,15-25 CHF,Kapuzinerkirche Rheinfelden,30-70,Chormusik- & Kulturfans,@chortrus_rheinfelden,Projektchor CHORTUS,15.0,25.0,mittel,Senior/All Ages,unknown,Nein,None,Herbst,unknown,Nein
Theater Freiburg – Wasserwelt. Das Musical,2025-09-26 20:00,Musical / Theater,25-60 €,Theater Freiburg,18-60,Musical- & Theaterfans,@theaterfreiburg,Theater Freiburg,25.0,60.0,teuer,Midlife,unknown,Nein,None,Herbst,Freiburg,Ja
Räng Slam Freiburg,2025-09-10 20:00,Poetry Slam / Spoken Word,10-15 €,"Räng Teng Teng, Freiburg",18-45,Poetry Slam Fans,@poetryslamfreiburg,Poetry Slam Freiburg,10.0,15.0,günstig,Midlife,unknown,Nein,None,Herbst,Freiburg,Ja
Atlantik Slam Freiburg,jeden letzten Donnerstag im Monat 20:00,Poetry Slam / Open Stage,10-15 €,"Café Atlantik, Freiburg",18-45,Poetry Slam Fans,@cafeatlantikfreiburg,Poetry Slam Freiburg,10.0,15.0,günstig,Midlife,unknown,Nein,None,unknown,Freiburg,Ja
Kommunales Kino Freiburg – HerStories: arabische Filmpionierinnen,2025-09-12 bis 2025-09-14,Filmfestival / Kino / Panel,8-12 €,"Kommunales Kino, Freiburg",18-60,Film- & Kulturpublikum,@koki_freiburg,Kommunales Kino Freiburg,8.0,12.0,günstig,Midlife,>10000,Nein,Multigenre,Herbst,Freiburg,Ja
Sommernachtskino im Schwarzen Kloster,"2025-06-26 bis 2025-09-07, abends",Open-Air Kino,8-12 €,"Innenhof Schwarzes Kloster, Freiburg",alle Altersgruppen,Filmfans & Sommerpublikum,@sommernachtskino,Sommernachtskino Freiburg,8.0,12.0,günstig,unknown,unknown,Nein,None,Sommer,Freiburg,Ja
Internationales Sommerfest Lörrach,2025-07-12 10:00-17:00,Stadtfest / Kultur / Musik & Markt,kostenlos,"Alter Marktplatz, Lörrach",alle Altersgruppen,"Stadtbevölkerung, Kulturfreunde",@stadt.loerrach,Stadt Lörrach,,,teuer,unknown,500-5000,Nein,None,Sommer,Lörrach/Weil,Ja
Newcomer*innen Poetry Slam Freiburg,2025-09-26 19:00,Poetry Slam / Jugend,10-15 €,"Haus der Jugend, Freiburg",16-30,Jugendliche & junge Erwachsene,@poetryslamfreiburg,Poetry Slam Freiburg,10.0,15.0,günstig,Adults,unknown,Nein,None,Herbst,Freiburg,Ja
Summer Night Cinema im Schwarzen Kloster Freiburg,"2025-06-28 bis 2025-09-07, abends",Open-Air Kino,12 €,"Schwarzes Kloster Innenhof, Freiburg",alle Altersgruppen,Filmfans & Sommerpublikum,@sommernachtskino,Sommernachtskino Freiburg,12.0,12.0,günstig,unknown,unknown,Nein,None,Sommer,Freiburg,Ja
22 Bahnen Kinoveranstaltungen,2025-09-14 bis 2025-09-17,Kino / Filmvorführung,5-12 €,"CinemaxX & Kandelhof Kino, Freiburg",18-60,Kino- & Filmpublikum,@koki_freiburg,Kommunales Kino Freiburg,5.0,12.0,günstig,Midlife,unknown,Nein,None,Herbst,Freiburg,Ja
PDC Swiss Darts Trophy,2025-09-26 bis 2025-09-28,Sport / Wettbewerb,30-80 CHF,"St. Jakobshalle, Basel",20-50,Sportfans & Zuschauer,@officialpdc,PDC Europe,30.0,80.0,teuer,Midlife,unknown,Nein,None,Herbst,Basel,Ja
Simon & Garfunkel Tribute Concert,2025-10-17 19:30,Konzert / Tribute Show,40-80 CHF,Stadtcasino Basel,30-70,Konzert- & Musikfans,@stadtcasino_basel,Stadtcasino Basel,40.0,80.0,teuer,Senior/All Ages,unknown,Nein,None,Herbst,Basel,Ja
Mona Vetsch & Tom Gisler: Im mittleren Alter,2025-10-25 20:00,Bühne / Humor / Talkshow,30-60 CHF,Volkshaus Basel,30-65,Kabarett- & Kulturpublikum,@volkshausbasel,Volkshaus Basel,30.0,60.0,teuer,Senior/All Ages,unknown,Nein,None,Herbst,Basel,Ja
Kommunales Kino Freiburg – Filmprogramm,2025-09-27 bis 2025-09-28,Filmfestival / Kino,8-12 €,"Kommunales Kino, Freiburg",18-60,Film- & Kulturpublikum,@koki_freiburg,Kommunales Kino Freiburg,8.0,12.0,günstig,Midlife,>10000,Nein,Multigenre,Herbst,Freiburg,Ja
Baloise Session Basel,2025-10-15 bis 2025-11-05,Musikfestival / Clubkonzerte,50-150 CHF,Basel,20-65,Festival- & Musikliebhaber,@baloisesession,Baloise Session,50.0,150.0,teuer,Senior/All Ages,>10000,Nein,Multigenre,Herbst,Basel,Ja
