event-name,start_datetime,end_datetime,recurrence_rule,date_description,event-type,dance_focus,dance_style,price_min,price_max,currency,pricing_type,price_category,audience_min,audience_max,audience_size_bucket,age_min,age_max,age_group_label,event-location,region,season,cross_border_potential,user-category,organizer,instagram
Unternehmen Mitte Salsa Social,2025-09-18 19:00:00,,,,Salsa/Bachata Social Dance,Ja,Salsa/Bachata/Kizomba,10.0,10.0,CHF,fixed,günstig,50.0,200.0,medium,20.0,40.0,Adults,"Unternehmen Mitte, Basel",Basel,unknown,Ja,Latin Dance Community,Salsa Basel Community,@unternehmenmitte
KC Afterwork Salsa,2025-09-18 19:00:00,,,,Afterwork Salsa/Bachata,Ja,Salsa/Bachata/Kizomba,10.0,10.0,EUR,fixed,günstig,,,unknown,25.0,45.0,Midlife,Lörrach,Lörrach/Weil,unknown,Ja,Afterwork & Tanz Community,KC Afterwork Lörrach,@kcafterwork
Tanzschule Neugebauer Übungsabend,2025-09-18 20:00:00,,,,Standard/Latein Social Dance,Ja,Standard/Latein,8.0,12.0,EUR,range,günstig,50.0,200.0,medium,20.0,60.0,Midlife,"TSNL, Lörrach",Lörrach/Weil,unknown,Ja,Paartanz-Community,Tanzschule Neugebauer,@tsnl_loerrach
Siebenschritt Bal Folk Ball,,,,vierteljährlich Samstags,Bal Folk Tanzball,Ja,Swing/Balboa,15.0,25.0,EUR,range,mittel,50.0,200.0,medium,25.0,60.0,Midlife,Freiburg,Freiburg,unknown,Ja,Bal Folk Community,Siebenschritt e.V.,@siebenschritt_freiburg
Swing-in’ Freiburg Social,2025-09-18 20:00:00,,,,Swing/Lindy Hop Social Dance,Ja,Swing/Balboa,10.0,10.0,EUR,fixed,günstig,50.0,200.0,medium,20.0,45.0,Midlife,Freiburg,Freiburg,unknown,Ja,Swingtanz-Community,Swing-in’ Freiburg,@swinginfreiburg
Tanzschule Gutmann Late Night,2025-09-18 21:00:00,,,,Multigenre Social Dance,Ja,None,10.0,15.0,EUR,range,günstig,50.0,200.0,medium,20.0,40.0,Adults,"Tanzschule Gutmann, Freiburg",Freiburg,unknown,Ja,Tanzschul-Community,Tanzschule Gutmann,@tanzschulegutmann
Jazzhaus Freiburg 80s Party,2025-09-18 23:00:00,,,,80er Tanznacht,Ja,None,12.0,18.0,EUR,range,mittel,300.0,2000.0,large,25.0,50.0,Midlife,Jazzhaus Freiburg,Freiburg,unknown,Ja,"80er Fans, Clubgäste",Jazzhaus Freiburg,@jazzhausfreiburg
Museumsnacht Basel,2026-01-18 00:00:00,,,,Kulturelles Stadtfestival,Nein,Multigenre,25.0,25.0,CHF,fixed,mittel,10000.0,,mega,20.0,65.0,Senior/All Ages,Museen Basel,Basel,Winter,Ja,Kultur- & Social-Community,Museen Basel,@museumsnachtbasel
Die 10 Gebote – Ein Pop-Oratorium,2025-09-21 19:00:00,,,,Musical / Konzert,Nein,None,32.0,32.0,EUR,fixed,mittel,,,unknown,20.0,55.0,Midlife,Burghof Lörrach,Lörrach/Weil,Herbst,Ja,Musical & Konzert Publikum,Burghof Lörrach GmbH,@burghof
Kammerorchester Basel – Philosophen und Poeten,2025-09-20 19:30:00,,,,Klassik Konzert,Nein,None,40.0,80.0,CHF,range,teuer,,,unknown,30.0,65.0,Senior/All Ages,"Don Bosco, Basel",Basel,Herbst,Ja,Klassik-Publikum,Kammerorchester Basel,@kammerorchesterbasel
YARD 2025 – Kunstmuseum Basel,2025-08-18 00:00:00,,,,Kunst & Musik Open-Air,Nein,None,,,,unknown,teuer,,,unknown,18.0,50.0,Midlife,Kunstmuseum Basel,Basel,Sommer,Ja,Kultur- & Musik-Community,Kunstmuseum Basel,@kunstmuseumbasel
Mobilär Dayrave powered by Energy,2025-09-20 00:00:00,,,,Elektronische Musik / Dayrave,Nein,None,30.0,60.0,CHF,range,teuer,,,unknown,18.0,35.0,Adults,"Park Lange Erlen, Basel",Basel,Herbst,Ja,EDM & Party Crowd,Energy Events,@energych
Esteriore Brothers Live,2025-09-23 20:00:00,,,,Pop Konzert,Nein,None,40.0,90.0,CHF,range,teuer,,,unknown,20.0,50.0,Midlife,Stadtcasino Basel,Basel,Herbst,Ja,Popmusik Fans,Stadtcasino Basel,@estetiorebrothers
Lisette Spinnler Quintet – Roche 'n' Jazz,2025-09-26 16:00:00,,,,Jazz Konzert,Nein,None,15.0,20.0,CHF,range,mittel,,,unknown,30.0,60.0,Midlife,"Museum Tinguely, Basel",Basel,Herbst,Ja,Jazz & Kulturpublikum,Museum Tinguely,@museumtinguely
Nellies Tanztee,2025-09-18 15:00:00,,,,Tanztee / Social,Ja,None,0.0,0.0,FREE,free,teuer,50.0,200.0,medium,40.0,70.0,Senior/All Ages,"Nellie Nashorn, Lörrach",Lörrach/Weil,unknown,Ja,Soziokultur & Generation 40+,Nellie Nashorn,@nellie.nashorn
Burgfestspiele Rötteln – Tartuffe der Betrüger,2025-06-20 20:25:00,,,,Theater / Freilichtspiel,Nein,None,25.0,45.0,EUR,range,teuer,,,unknown,25.0,65.0,Senior/All Ages,"Burg Rötteln, Lörrach",Lörrach/Weil,Sommer,Ja,Theater- & Kulturpublikum,Burgfestspiele Rötteln,@burgruine_roetteln
1. Mai Hock auf Rötteln,2025-05-01 00:00:00,,,,Volksfest / Outdoor,Nein,None,,,,unknown,teuer,,,unknown,,,unknown,"Burg Rötteln, Lörrach",Lörrach/Weil,Frühling,Ja,Familien & Stadtbevölkerung,Burg Rötteln Verein,@burgruine_roetteln
Rheinfelden Cityfest,2025-06-19 20:25:00,,,,Stadtfest / Musik & Markt,Nein,None,,,,unknown,teuer,,,unknown,,,unknown,Innenstadt Rheinfelden,unknown,Sommer,Nein,Community / Stadtfestbesucher,Stadt Rheinfelden,@rheinfeldenbaden
Märkte Innenstadt Rheinfelden,2025-09-05 20:25:00,,,,Markt / Stadtleben,Nein,None,,,,unknown,teuer,,,unknown,,,unknown,Innenstadt Rheinfelden,unknown,Herbst,Nein,Marktbesucher,Stadt Rheinfelden,@rheinfeldenbaden
AUREA Jukebox Night,2025-09-18 19:00:00,,,,Musiknacht / Bar-Event,Nein,None,15.0,25.0,CHF,range,mittel,300.0,2000.0,large,20.0,45.0,Midlife,"AUREA, Rheinfelden",unknown,Herbst,Nein,Bar- & Clubgänger,AUREA Rheinfelden,@aurea_rheinfelden
Schnitzelbank-Abend,2025-09-19 19:30:00,,,,Unterhaltung / Restaurant-Abend,Nein,None,20.0,30.0,CHF,range,mittel,,,unknown,30.0,70.0,Senior/All Ages,"Restaurant Schiff, Rheinfelden",unknown,Herbst,Nein,Lokalbesucher,Restaurant Schiff Rheinfelden,@restaurant_schiff_rheinfelden
Konzert Projektchor CHORTUS,2025-09-21 17:00:00,,,,Chor-Konzert,Nein,None,15.0,25.0,CHF,range,mittel,,,unknown,30.0,70.0,Senior/All Ages,Kapuzinerkirche Rheinfelden,unknown,Herbst,Nein,Chormusik- & Kulturfans,Projektchor CHORTUS,@chortrus_rheinfelden
Theater Freiburg – Wasserwelt. Das Musical,2025-09-26 20:00:00,,,,Musical / Theater,Nein,None,25.0,60.0,EUR,range,teuer,,,unknown,18.0,60.0,Midlife,Theater Freiburg,Freiburg,Herbst,Ja,Musical- & Theaterfans,Theater Freiburg,@theaterfreiburg
Räng Slam Freiburg,2025-09-10 20:00:00,,,,Poetry Slam / Spoken Word,Nein,None,10.0,15.0,EUR,range,günstig,,,unknown,18.0,45.0,Midlife,"Räng Teng Teng, Freiburg",Freiburg,Herbst,Ja,Poetry Slam Fans,Poetry Slam Freiburg,@poetryslamfreiburg
Atlantik Slam Freiburg,2025-09-18 20:00:00,,,,Poetry Slam / Open Stage,Nein,None,10.0,15.0,EUR,range,günstig,,,unknown,18.0,45.0,Midlife,"Café Atlantik, Freiburg",Freiburg,unknown,Ja,Poetry Slam Fans,Poetry Slam Freiburg,@cafeatlantikfreiburg
Kommunales Kino Freiburg – HerStories: arabische Filmpionierinnen,2025-09-12 20:25:00,,,,Filmfestival / Kino / Panel,Nein,Multigenre,8.0,12.0,EUR,range,günstig,10000.0,,mega,18.0,60.0,Midlife,"Kommunales Kino, Freiburg",Freiburg,Herbst,Ja,Film- & Kulturpublikum,Kommunales Kino Freiburg,@koki_freiburg
Sommernachtskino im Schwarzen Kloster,2025-06-26 20:25:00,,,,Open-Air Kino,Nein,None,8.0,12.0,EUR,range,günstig,,,unknown,,,unknown,"Innenhof Schwarzes Kloster, Freiburg",Freiburg,Sommer,Ja,Filmfans & Sommerpublikum,Sommernachtskino Freiburg,@sommernachtskino
Internationales Sommerfest Lörrach,2025-07-12 10:00:00,,,,Stadtfest / Kultur / Musik & Markt,Nein,None,,,,unknown,teuer,500.0,5000.0,large,,,unknown,"Alter Marktplatz, Lörrach",Lörrach/Weil,Sommer,Ja,"Stadtbevölkerung, Kulturfreunde",Stadt Lörrach,@stadt.loerrach
Newcomer*innen Poetry Slam Freiburg,2025-09-26 19:00:00,,,,Poetry Slam / Jugend,Nein,None,10.0,15.0,EUR,range,günstig,,,unknown,16.0,30.0,Adults,"Haus der Jugend, Freiburg",Freiburg,Herbst,Ja,Jugendliche & junge Erwachsene,Poetry Slam Freiburg,@poetryslamfreiburg
Summer Night Cinema im Schwarzen Kloster Freiburg,2025-06-28 20:25:00,,,,Open-Air Kino,Nein,None,12.0,12.0,EUR,fixed,günstig,,,unknown,,,unknown,"Schwarzes Kloster Innenhof, Freiburg",Freiburg,Sommer,Ja,Filmfans & Sommerpublikum,Sommernachtskino Freiburg,@sommernachtskino
22 Bahnen Kinoveranstaltungen,2025-09-14 20:25:00,,,,Kino / Filmvorführung,Nein,None,5.0,12.0,EUR,range,günstig,,,unknown,18.0,60.0,Midlife,"CinemaxX & Kandelhof Kino, Freiburg",Freiburg,Herbst,Ja,Kino- & Filmpublikum,Kommunales Kino Freiburg,@koki_freiburg
PDC Swiss Darts Trophy,2025-09-26 20:25:00,,,,Sport / Wettbewerb,Nein,None,30.0,80.0,CHF,range,teuer,,,unknown,20.0,50.0,Midlife,"St. Jakobshalle, Basel",Basel,Herbst,Ja,Sportfans & Zuschauer,PDC Europe,@officialpdc
Simon & Garfunkel Tribute Concert,2025-10-17 19:30:00,,,,Konzert / Tribute Show,Nein,None,40.0,80.0,CHF,range,teuer,,,unknown,30.0,70.0,Senior/All Ages,Stadtcasino Basel,Basel,Herbst,Ja,Konzert- & Musikfans,Stadtcasino Basel,@stadtcasino_basel
Mona Vetsch & Tom Gisler: Im mittleren Alter,2025-10-25 20:00:00,,,,Bühne / Humor / Talkshow,Nein,None,30.0,60.0,CHF,range,teuer,,,unknown,30.0,65.0,Senior/All Ages,Volkshaus Basel,Basel,Herbst,Ja,Kabarett- & Kulturpublikum,Volkshaus Basel,@volkshausbasel
Kommunales Kino Freiburg – Filmprogramm,2025-09-27 20:25:00,,,,Filmfestival / Kino,Nein,Multigenre,8.0,12.0,EUR,range,günstig,10000.0,,mega,18.0,60.0,Midlife,"Kommunales Kino, Freiburg",Freiburg,Herbst,Ja,Film- & Kulturpublikum,Kommunales Kino Freiburg,@koki_freiburg
Baloise Session Basel,2025-10-15 20:25:00,,,,Musikfestival / Clubkonzerte,Nein,Multigenre,50.0,150.0,CHF,range,teuer,10000.0,,mega,20.0,65.0,Senior/All Ages,Basel,Basel,Herbst,Ja,Festival- & Musikliebhaber,Baloise Session,@baloisesession
Canoë-Kayak Mulhouse Riedisheim Session,2025-09-18 00:00:00,,,,Outdoor / Kanu & Kayak,Nein,None,15.0,30.0,EUR,range,mittel,,,unknown,12.0,50.0,Midlife,"Mulhouse-Riedisheim, Frankreich",unknown,unknown,Nein,Outdoor- & Wassersport-Fans,Canoë-Kayak Club Mulhouse Riedisheim,@canoekayakmulhouse
Parc des Eaux Vives Huningue Wildwasser,2025-09-18 00:00:00,,,,Wildwasser / Kanu / Kayak,Nein,None,20.0,40.0,EUR,range,mittel,,,unknown,12.0,50.0,Midlife,"Parc des Eaux Vives, Huningue",unknown,unknown,Nein,Wildwasser-Sportler,Parc des Eaux Vives Huningue,@parc_eaux_vives
Bloodere Clique Lörrach – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,Innenstadt Lörrach,Lörrach/Weil,Winter,Ja,Fasnacht- & Brauchtumsfans,Bloodere Clique Lörrach,@bloodereclique
Storchen-Clique Hauingen – Fasnachtsauftritt,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,Hauingen (Lörrach),Lörrach/Weil,Winter,Ja,Tradition & Fasnacht,Storchen-Clique Hauingen e.V.,@storchencliquehauingen
Brunnenputzer Lörrach – Fasnacht,2026-02-23 20:26:00,,,,Fasnacht / Straßenumzug,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,Innenstadt Lörrach,Lörrach/Weil,Winter,Ja,Fasnacht- & Brauchtum,Brunnenputzer Lörrach,@brunnenputzer
Bloodere Clique Lörrach – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach/Weil,Winter,Ja,Fasnacht- & Brauchtumsfans,Bloodere Clique Lörrach,
Brunnenputzer Lörrach – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach/Weil,Winter,Ja,Fasnacht- & Brauchtumsfans,Brunnenputzer Lörrach,
Clunggi Haltingen – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach/Weil,Winter,Ja,Fasnacht- & Brauchtumsfans,Clunggi Haltingen,
Alti Fabriknäscht Cligge Friedlingen – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach/Weil,Winter,Ja,Fasnacht- & Brauchtumsfans,Alti Fabriknäscht Cligge Friedlingen,
Altwiiler Räbbuure – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach/Weil,Winter,Ja,Fasnacht- & Brauchtumsfans,Altwiiler Räbbuure,
Auggener Räbchnurre – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach/Weil,Winter,Ja,Fasnacht- & Brauchtumsfans,Auggener Räbchnurre,
Bachratte Eimeldingen – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach/Weil,Winter,Ja,Fasnacht- & Brauchtumsfans,Bachratte Eimeldingen,
Bärebrummer Friedlingen – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach/Weil,Winter,Ja,Fasnacht- & Brauchtumsfans,Bärebrummer Friedlingen,
Baumfrevler Maulburg – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach/Weil,Winter,Ja,Fasnacht- & Brauchtumsfans,Baumfrevler Maulburg,
Beelze Buebe Kandern – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach/Weil,Winter,Ja,Fasnacht- & Brauchtumsfans,Beelze Buebe Kandern,
Belchengeister & Chäsliwieber Münstertal – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach/Weil,Winter,Ja,Fasnacht- & Brauchtumsfans,Belchengeister & Chäsliwieber Münstertal,
Storchen-Clique Hauingen – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach/Weil,Winter,Ja,Fasnacht- & Brauchtumsfans,Storchen-Clique Hauingen,
Hauinger Buurefasnacht – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach/Weil,Winter,Ja,Fasnacht- & Brauchtumsfans,Hauinger Buurefasnacht,
BläachGuggeFätzzer Altenstadt – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach/Weil,Winter,Ja,Fasnacht- & Brauchtumsfans,BläachGuggeFätzzer Altenstadt,
Blech-Beat Gugge – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach/Weil,Winter,Ja,Fasnacht- & Brauchtumsfans,Blech-Beat Gugge,
Chanderner Geisse – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach/Weil,Winter,Ja,Fasnacht- & Brauchtumsfans,Chanderner Geisse,
Chanderner Hexe – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach/Weil,Winter,Ja,Fasnacht- & Brauchtumsfans,Chanderner Hexe,
Chanderner Werwölf – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach/Weil,Winter,Ja,Fasnacht- & Brauchtumsfans,Chanderner Werwölf,
Binzemer Narre – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach/Weil,Winter,Ja,Fasnacht- & Brauchtumsfans,Binzemer Narre,
Märchenwald-Hexen – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach/Weil,Winter,Ja,Fasnacht- & Brauchtumsfans,Märchenwald-Hexen,
Lörracher Weihnachtsmarkt,2025-12-04 20:25:00,,,,Weihnachtsmarkt / Advent,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,"Alter Marktplatz, Senser Platz, Hebelpark, Lörrach",Lörrach/Weil,Winter,Ja,Weihnachtsmarkt-Besucher,Stadt Lörrach,@stadt.loerrach
Baden in Blut Metal Open Air,2025-07-17 20:25:00,,,,Musikfestival / Metal / Rock,Nein,Multigenre,60.0,120.0,EUR,range,teuer,10000.0,,mega,18.0,50.0,Midlife,Weil am Rhein,Lörrach/Weil,Sommer,Ja,Festival- & Metal-Fans,Baden in Blut Festival e.V.,@badeninblut
FRIAS Freiburger Horizonte Vortragsreihe,2025-09-18 00:00:00,,,,Wissenschaft / Vortrag / Public Lecture,Nein,None,,,,unknown,teuer,,,unknown,20.0,80.0,Senior/All Ages,Universität Freiburg,Freiburg,unknown,Ja,Studierende & Öffentlichkeit,FRIAS – Freiburg Institute for Advanced Studies,@uni_freiburg
Global Studies Lecture – Prof. Walter Mignolo,2025-05-28 18:00:00,,,,Akademischer Vortrag / Global Studies,Ja,Swing/Balboa,,,,unknown,teuer,,,unknown,20.0,70.0,Senior/All Ages,"HS 1098, Universität Freiburg",Freiburg,Frühling,Ja,Studierende & Wissenschaftsinteressierte,Global Studies Programme Freiburg,@uni_freiburg
FamilyTour – Abenteuer Baumkronenweg Waldkirch,2025-11-09 12:45:00,,,,Outdoor / Familienevent,Nein,None,15.0,30.0,EUR,range,mittel,,,unknown,6.0,60.0,Midlife,"Baumkronenweg, Waldkirch",unknown,Herbst,Nein,Familien & Outdoor-Fans,SWFR Freiburg,@swfr_freiburg
Narrenzunft Lörrach 1936 – Zunftabende & Umzüge,2026-02-04 20:26:00,,,,Fasnacht / Vereinsveranstaltungen,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,Alte Halle Haagen & Innenstadt Lörrach,Lörrach/Weil,Winter,Ja,Fasnacht & Vereinsfreunde,Narrenzunft Lörrach 1936 e.V.,@narrenzunft.loerrach
Weihnachtsmarkt Weil am Rhein,2025-11-29 20:25:00,,,,Weihnachtsmarkt / Advent,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,"Lindenplatz, Alt-Weil, Weil am Rhein",Lörrach/Weil,Herbst,Ja,Weihnachtsmarktbesucher,Stadt Weil am Rhein,@stadt_weilamrhein
Weihnachtsmärkte Südbaden 2025,2025-11-27 20:25:00,,,,Weihnachtsmärkte / Winterevents,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,"Region Südbaden (u.a. Lörrach, Freiburg, Rheinfelden)",Freiburg,Herbst,Ja,Winter- & Weihnachtsmarktbesucher,Tourismus Baden-Württemberg,@visitbawu
Burghof Lörrach – Abdelkarim: Plan Z,2025-10-18 20:00:00,,,,Kabarett / Comedy Show,Nein,None,25.0,40.0,EUR,range,mittel,,,unknown,20.0,60.0,Midlife,Burghof Lörrach,Lörrach/Weil,Herbst,Ja,Kabarett- & Comedyfans,Burghof Lörrach GmbH,@burghofloerrach
Weindorf Lörrach,2025-06-18 20:25:00,,,,Weinfest / Genuss & Social,Nein,None,,,,unknown,teuer,50.0,200.0,medium,18.0,70.0,Senior/All Ages,"Alter Markt, Lörrach",Lörrach/Weil,Sommer,Ja,Weinliebhaber & Kulturfreunde,Stadt Lörrach,@stadt.loerrach
Weinmarkt Tüllingen Lörrach,2025-09-07 00:00:00,,,,Weinmarkt / Markt & Genuss,Nein,None,,,,unknown,teuer,,,unknown,18.0,70.0,Senior/All Ages,"Ortskern Tüllingen, Lörrach",Lörrach/Weil,Herbst,Ja,Wein- & Genussfreunde,Stadtteilverein Tüllingen,@stadt.loerrach
Canoë-Kayak Mulhouse Riedisheim – Portes Ouvertes,2025-09-03 20:25:00,,,,Outdoor / Kanu & Kayak,Nein,None,,,,unknown,teuer,,,unknown,12.0,50.0,Midlife,"Base Canoë-Kayak, Riedisheim (Mulhouse)",unknown,Herbst,Nein,Outdoor- & Wassersportfans,Canoë-Kayak Club Mulhouse Riedisheim,@canoekayakmulhouse
Canoë-Kayak Mulhouse – Explor’Assos,2025-09-07 00:00:00,,,,Outdoor / Kanu & Sport,Nein,None,,,,unknown,teuer,,,unknown,12.0,50.0,Midlife,"Riedisheim, Mulhouse",unknown,Herbst,Nein,Sportinteressierte & Familien,Base Canoë-Kayak Riedisheim,@canoekayakmulhouse
Weihnachtsmarkt Freiburg,2025-11-20 20:25:00,,,,Weihnachtsmarkt / Advent,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,Innenstadt Freiburg,Freiburg,Herbst,Ja,Weihnachtsmarkt-Besucher,Stadt Freiburg,@freiburg_de
