event-name,start_datetime,end_datetime,recurrence_rule,date_description,event-type,dance_focus,dance_style,price_min,price_max,currency,pricing_type,price_category,audience_min,audience_max,audience_size_bucket,age_min,age_max,age_group_label,event-location,region,season,cross_border_potential,user-category,organizer,instagram,event_link,event_link_fit,description
Unternehmen Mitte Salsa Social,2025-09-18 19:00:00,,,,Salsa/Bachata Social Dance,Ja,Salsa/Bachata/Kizomba,10.0,10.0,CHF,paid,mid,50.0,200.0,medium (100–500),20.0,40.0,18+,"Unternehmen Mitte, Basel",Basel (CH),autumn,Ja,Latin Dance Community,Salsa Basel Community,https://www.instagram.com/unternehmenmitte/,https://mitte.ch/en/program/afternoon-salsa-social/,0.9,"Unternehmen Mitte Salsa Social | by Salsa Basel Community | on 2025-09-18 19:00:00 | in Unternehmen Mitte, Basel"
KC Afterwork Salsa,2025-09-18 19:00:00,,,,Afterwork Salsa/Bachata,Ja,Salsa/Bachata/Kizomba,10.0,10.0,EUR,paid,mid,,,unknown,25.0,45.0,18+,Lörrach,Lörrach (DE),autumn,Ja,Afterwork & Tanz Community,KC Afterwork Lörrach,https://www.instagram.com/kcafterwork/,https://kcdancestudio.com/events/,0.2,KC Afterwork Salsa | by KC Afterwork Lörrach | on 2025-09-18 19:00:00 | in Lörrach
Tanzschule Neugebauer Übungsabend,2025-09-18 20:00:00,,,,Standard/Latein Social Dance,Ja,Standard/Latein,8.0,12.0,EUR,paid,low,50.0,200.0,medium (100–500),20.0,60.0,18+,"TSNL, Lörrach",Lörrach (DE),autumn,Ja,Paartanz-Community,Tanzschule Neugebauer,https://www.instagram.com/tsnl_loerrach/,https://tsnl.de/uebungsabend/,0.3,"Tanzschule Neugebauer Übungsabend | by Tanzschule Neugebauer | on 2025-09-18 20:00:00 | in TSNL, Lörrach"
Siebenschritt Bal Folk Ball,MISSING_DATE,,,vierteljährlich Samstags,Bal Folk Tanzball,Ja,Swing/Balboa,15.0,25.0,EUR,paid,mid,50.0,200.0,medium (100–500),25.0,60.0,18+,Freiburg,Freiburg (DE),unknown,Ja,Bal Folk Community,Siebenschritt e.V.,https://www.instagram.com/siebenschritt_freiburg/,https://7schritt.de/veranstaltungen/,0.3,Siebenschritt Bal Folk Ball | by Siebenschritt e.V. | in Freiburg
Swing-in’ Freiburg Social,2025-09-18 20:00:00,,,,Swing/Lindy Hop Social Dance,Ja,Swing/Balboa,10.0,10.0,EUR,paid,mid,50.0,200.0,medium (100–500),20.0,45.0,18+,Freiburg,Freiburg (DE),autumn,Ja,Swingtanz-Community,Swing-in’ Freiburg,https://www.instagram.com/swinginfreiburg/,https://www.swinginfreiburg.de/events/,0.3,Swing-in’ Freiburg Social | by Swing-in’ Freiburg | on 2025-09-18 20:00:00 | in Freiburg
Tanzschule Gutmann Late Night,2025-09-18 21:00:00,,,,Multigenre Social Dance,Ja,None,10.0,15.0,EUR,paid,mid,50.0,200.0,medium (100–500),20.0,40.0,18+,"Tanzschule Gutmann, Freiburg",Freiburg (DE),autumn,Ja,Tanzschul-Community,Tanzschule Gutmann,https://www.instagram.com/tanzschulegutmann/,https://www.tanzschule-gutmann.de/event/tag-der-offenen-tuer/,0.9,"Tanzschule Gutmann Late Night | by Tanzschule Gutmann | on 2025-09-18 21:00:00 | in Tanzschule Gutmann, Freiburg"
Jazzhaus Freiburg 80s Party,2025-09-18 23:00:00,,,,80er Tanznacht,Ja,None,12.0,18.0,EUR,paid,mid,300.0,2000.0,large (>500),25.0,50.0,18+,Jazzhaus Freiburg,Freiburg (DE),autumn,Ja,"80er Fans, Clubgäste",Jazzhaus Freiburg,https://www.instagram.com/jazzhausfreiburg/,https://www.jazzhaus.de/programm/2025-09-27-connected-5475.html,0.9,Jazzhaus Freiburg 80s Party | by Jazzhaus Freiburg | on 2025-09-18 23:00:00 | in Jazzhaus Freiburg
Museumsnacht Basel,2026-01-18 00:00:00,,,,Kulturelles Stadtfestival,Nein,Multigenre,25.0,25.0,CHF,paid,mid,10000.0,,large (>500),20.0,65.0,18+,Museen Basel,Basel (CH),winter,Ja,Kultur- & Social-Community,Museen Basel,https://www.instagram.com/museumsnachtbasel/,https://museumsnacht.ch/en/,0.3,Museumsnacht Basel | by Museen Basel | on 2026-01-18 00:00:00 | in Museen Basel
Die 10 Gebote – Ein Pop-Oratorium,2025-09-21 19:00:00,,,,Musical / Konzert,Nein,None,32.0,32.0,EUR,paid,high,,,unknown,20.0,55.0,18+,Burghof Lörrach,Lörrach (DE),autumn,Ja,Musical & Konzert Publikum,Burghof Lörrach GmbH,https://www.instagram.com/burghof/,https://www.burghof.com/en/programm/,0.8,Die 10 Gebote – Ein Pop-Oratorium | by Burghof Lörrach GmbH | on 2025-09-21 19:00:00 | in Burghof Lörrach
Kammerorchester Basel – Philosophen und Poeten,2025-09-20 19:30:00,,,,Klassik Konzert,Nein,None,40.0,80.0,CHF,paid,high,,,unknown,30.0,65.0,18+,"Don Bosco, Basel",Basel (CH),autumn,Ja,Klassik-Publikum,Kammerorchester Basel,https://www.instagram.com/kammerorchesterbasel/,https://www.kob-abo.ch/,0.9,"Kammerorchester Basel – Philosophen und Poeten | by Kammerorchester Basel | on 2025-09-20 19:30:00 | in Don Bosco, Basel"
YARD 2025 – Kunstmuseum Basel,2025-08-18 00:00:00,,,,Kunst & Musik Open-Air,Nein,None,,,CHF,,,,,unknown,18.0,50.0,18+,Kunstmuseum Basel,Basel (CH),summer,Ja,Kultur- & Musik-Community,Kunstmuseum Basel,https://www.instagram.com/kunstmuseumbasel/,https://kunstmuseumbasel.ch/de/yard,0.9,YARD 2025 – Kunstmuseum Basel | by Kunstmuseum Basel | on 2025-08-18 00:00:00 | in Kunstmuseum Basel
Mobilär Dayrave powered by Energy,2025-09-20 00:00:00,,,,Elektronische Musik / Dayrave,Nein,None,30.0,60.0,CHF,paid,mid,,,unknown,18.0,35.0,18+,"Park Lange Erlen, Basel",Basel (CH),autumn,Ja,EDM & Party Crowd,Energy Events,https://www.instagram.com/energych/,https://eventfrog.ch/en/p/party/house-techno/mobiliar-dayrave-open-air-powered-by-radio-energy-7328349695767479419.html,0.7000000000000001,"Mobilär Dayrave powered by Energy | by Energy Events | on 2025-09-20 00:00:00 | in Park Lange Erlen, Basel"
Esteriore Brothers Live,2025-09-23 20:00:00,,,,Pop Konzert,Nein,None,40.0,90.0,CHF,paid,high,,,unknown,20.0,50.0,18+,Stadtcasino Basel,Basel (CH),autumn,Ja,Popmusik Fans,Stadtcasino Basel,https://www.instagram.com/estetiorebrothers/,https://www.jambase.com/show/esteriore-brothers-rosentalanlage-20250923,0.2,Esteriore Brothers Live | by Stadtcasino Basel | on 2025-09-23 20:00:00 | in Stadtcasino Basel
Lisette Spinnler Quintet – Roche 'n' Jazz,2025-09-26 16:00:00,,,,Jazz Konzert,Nein,None,15.0,20.0,CHF,paid,mid,,,unknown,30.0,60.0,18+,"Museum Tinguely, Basel",Basel (CH),autumn,Ja,Jazz & Kulturpublikum,Museum Tinguely,https://www.instagram.com/museumtinguely/,https://www.tinguely.ch/en/events/roche-n-jazz-lisette-spinnler-quintet-26-09-2025-16h00-26-09-2025-18h00.html,0.3,"Lisette Spinnler Quintet – Roche 'n' Jazz | by Museum Tinguely | on 2025-09-26 16:00:00 | in Museum Tinguely, Basel"
Nellies Tanztee,2025-09-18 15:00:00,,,,Tanztee / Social,Ja,None,0.0,0.0,EUR,free,low,50.0,200.0,medium (100–500),40.0,70.0,18+,"Nellie Nashorn, Lörrach",Lörrach (DE),autumn,Ja,Soziokultur & Generation 40+,Nellie Nashorn,https://www.instagram.com/nellie.nashorn/,https://nellie-nashorn.de/wp/,0.3,"Nellies Tanztee | by Nellie Nashorn | on 2025-09-18 15:00:00 | in Nellie Nashorn, Lörrach"
Burgfestspiele Rötteln – Tartuffe der Betrüger,2025-06-20 20:25:00,,,,Theater / Freilichtspiel,Nein,None,25.0,45.0,EUR,paid,mid,,,unknown,25.0,65.0,18+,"Burg Rötteln, Lörrach",Lörrach (DE),summer,Ja,Theater- & Kulturpublikum,Burgfestspiele Rötteln,https://www.instagram.com/burgruine_roetteln/,https://burgfestspiele-roetteln.de/stueck/,0.3,"Burgfestspiele Rötteln – Tartuffe der Betrüger | by Burgfestspiele Rötteln | on 2025-06-20 20:25:00 | in Burg Rötteln, Lörrach"
1. Mai Hock auf Rötteln,2025-05-01 00:00:00,,,,Volksfest / Outdoor,Nein,None,,,EUR,,,,,unknown,,,unknown,"Burg Rötteln, Lörrach",Lörrach (DE),spring,Ja,Familien & Stadtbevölkerung,Burg Rötteln Verein,https://www.instagram.com/burgruine_roetteln/,https://www.loerrach.de/veranstaltungen,0.9,"1. Mai Hock auf Rötteln | by Burg Rötteln Verein | on 2025-05-01 00:00:00 | in Burg Rötteln, Lörrach"
Rheinfelden Cityfest,2025-06-19 20:25:00,,,,Stadtfest / Musik & Markt,Nein,None,,,,,,,,unknown,,,unknown,Innenstadt Rheinfelden,unknown,summer,Nein,Community / Stadtfestbesucher,Stadt Rheinfelden,https://www.instagram.com/rheinfeldenbaden/,https://www.basel.com/en/events,0.8,Rheinfelden Cityfest | by Stadt Rheinfelden | on 2025-06-19 20:25:00 | in Innenstadt Rheinfelden
Märkte Innenstadt Rheinfelden,2025-09-05 20:25:00,,,,Markt / Stadtleben,Nein,None,,,,,,,,unknown,,,unknown,Innenstadt Rheinfelden,unknown,autumn,Nein,Marktbesucher,Stadt Rheinfelden,https://www.instagram.com/rheinfeldenbaden/,https://www.basel.com/en/events,0.8,Märkte Innenstadt Rheinfelden | by Stadt Rheinfelden | on 2025-09-05 20:25:00 | in Innenstadt Rheinfelden
AUREA Jukebox Night,2025-09-18 19:00:00,,,,Musiknacht / Bar-Event,Nein,None,15.0,25.0,CHF,paid,mid,300.0,2000.0,large (>500),20.0,45.0,18+,"AUREA, Rheinfelden",unknown,autumn,Nein,Bar- & Clubgänger,AUREA Rheinfelden,https://www.instagram.com/aurea_rheinfelden/,https://www.basel.com/en/events,0.8,"AUREA Jukebox Night | by AUREA Rheinfelden | on 2025-09-18 19:00:00 | in AUREA, Rheinfelden"
Schnitzelbank-Abend,2025-09-19 19:30:00,,,,Unterhaltung / Restaurant-Abend,Nein,None,20.0,30.0,CHF,paid,mid,,,unknown,30.0,70.0,18+,"Restaurant Schiff, Rheinfelden",unknown,autumn,Nein,Lokalbesucher,Restaurant Schiff Rheinfelden,https://www.instagram.com/restaurant_schiff_rheinfelden/,https://www.basel.com/en/events,0.8,"Schnitzelbank-Abend | by Restaurant Schiff Rheinfelden | on 2025-09-19 19:30:00 | in Restaurant Schiff, Rheinfelden"
Konzert Projektchor CHORTUS,2025-09-21 17:00:00,,,,Chor-Konzert,Nein,None,15.0,25.0,CHF,paid,mid,,,unknown,30.0,70.0,18+,Kapuzinerkirche Rheinfelden,unknown,autumn,Nein,Chormusik- & Kulturfans,Projektchor CHORTUS,https://www.instagram.com/chortrus_rheinfelden/,https://www.basel.com/en/events,0.8,Konzert Projektchor CHORTUS | by Projektchor CHORTUS | on 2025-09-21 17:00:00 | in Kapuzinerkirche Rheinfelden
Theater Freiburg – Wasserwelt. Das Musical,2025-09-26 20:00:00,,,,Musical / Theater,Nein,None,25.0,60.0,EUR,paid,mid,,,unknown,18.0,60.0,18+,Theater Freiburg,Freiburg (DE),autumn,Ja,Musical- & Theaterfans,Theater Freiburg,https://www.instagram.com/theaterfreiburg/,https://www.freiburg.de/pb/1176329.html,0.3,Theater Freiburg – Wasserwelt. Das Musical | by Theater Freiburg | on 2025-09-26 20:00:00 | in Theater Freiburg
Räng Slam Freiburg,2025-09-10 20:00:00,,,,Poetry Slam / Spoken Word,Nein,None,10.0,15.0,EUR,paid,mid,,,unknown,18.0,45.0,18+,"Räng Teng Teng, Freiburg",Freiburg (DE),autumn,Ja,Poetry Slam Fans,Poetry Slam Freiburg,https://www.instagram.com/poetryslamfreiburg/,https://www.freiburg.de/pb/1176329.html,0.3,"Räng Slam Freiburg | by Poetry Slam Freiburg | on 2025-09-10 20:00:00 | in Räng Teng Teng, Freiburg"
Atlantik Slam Freiburg,2025-09-18 20:00:00,,,,Poetry Slam / Open Stage,Nein,None,10.0,15.0,EUR,paid,mid,,,unknown,18.0,45.0,18+,"Café Atlantik, Freiburg",Freiburg (DE),autumn,Ja,Poetry Slam Fans,Poetry Slam Freiburg,https://www.instagram.com/cafeatlantikfreiburg/,https://www.freiburg.de/pb/1176329.html,0.3,"Atlantik Slam Freiburg | by Poetry Slam Freiburg | on 2025-09-18 20:00:00 | in Café Atlantik, Freiburg"
Kommunales Kino Freiburg – HerStories: arabische Filmpionierinnen,2025-09-12 20:25:00,,,,Filmfestival / Kino / Panel,Nein,Multigenre,8.0,12.0,EUR,paid,low,10000.0,,large (>500),18.0,60.0,18+,"Kommunales Kino, Freiburg",Freiburg (DE),autumn,Ja,Film- & Kulturpublikum,Kommunales Kino Freiburg,https://www.instagram.com/koki_freiburg/,https://www.freiburg.de/pb/1176329.html,0.3,"Kommunales Kino Freiburg – HerStories: arabische Filmpionierinnen | by Kommunales Kino Freiburg | on 2025-09-12 20:25:00 | in Kommunales Kino, Freiburg"
Sommernachtskino im Schwarzen Kloster,2025-06-26 20:25:00,,,,Open-Air Kino,Nein,None,8.0,12.0,EUR,paid,low,,,unknown,,,unknown,"Innenhof Schwarzes Kloster, Freiburg",Freiburg (DE),summer,Ja,Filmfans & Sommerpublikum,Sommernachtskino Freiburg,https://www.instagram.com/sommernachtskino/,https://www.freiburg.de/pb/1176329.html,0.3,"Sommernachtskino im Schwarzen Kloster | by Sommernachtskino Freiburg | on 2025-06-26 20:25:00 | in Innenhof Schwarzes Kloster, Freiburg"
Internationales Sommerfest Lörrach,2025-07-12 10:00:00,,,,Stadtfest / Kultur / Musik & Markt,Nein,None,,,EUR,,,500.0,5000.0,large (>500),,,unknown,"Alter Marktplatz, Lörrach",Lörrach (DE),summer,Ja,"Stadtbevölkerung, Kulturfreunde",Stadt Lörrach,https://www.instagram.com/stadt.loerrach/,https://www.loerrach.de/veranstaltungen,0.9,"Internationales Sommerfest Lörrach | by Stadt Lörrach | on 2025-07-12 10:00:00 | in Alter Marktplatz, Lörrach"
Newcomer*innen Poetry Slam Freiburg,2025-09-26 19:00:00,,,,Poetry Slam / Jugend,Nein,None,10.0,15.0,EUR,paid,mid,,,unknown,16.0,30.0,13+,"Haus der Jugend, Freiburg",Freiburg (DE),autumn,Ja,Jugendliche & junge Erwachsene,Poetry Slam Freiburg,https://www.instagram.com/poetryslamfreiburg/,https://www.freiburg.de/pb/1176329.html,0.3,"Newcomer*innen Poetry Slam Freiburg | by Poetry Slam Freiburg | on 2025-09-26 19:00:00 | in Haus der Jugend, Freiburg"
Summer Night Cinema im Schwarzen Kloster Freiburg,2025-06-28 20:25:00,,,,Open-Air Kino,Nein,None,12.0,12.0,EUR,paid,mid,,,unknown,,,unknown,"Schwarzes Kloster Innenhof, Freiburg",Freiburg (DE),summer,Ja,Filmfans & Sommerpublikum,Sommernachtskino Freiburg,https://www.instagram.com/sommernachtskino/,https://www.freiburg.de/pb/1176329.html,0.3,"Summer Night Cinema im Schwarzen Kloster Freiburg | by Sommernachtskino Freiburg | on 2025-06-28 20:25:00 | in Schwarzes Kloster Innenhof, Freiburg"
22 Bahnen Kinoveranstaltungen,2025-09-14 20:25:00,,,,Kino / Filmvorführung,Nein,None,5.0,12.0,EUR,paid,low,,,unknown,18.0,60.0,18+,"CinemaxX & Kandelhof Kino, Freiburg",Freiburg (DE),autumn,Ja,Kino- & Filmpublikum,Kommunales Kino Freiburg,https://www.instagram.com/koki_freiburg/,https://friedrichsbau-kino.de/programm/,0.9,"22 Bahnen Kinoveranstaltungen | by Kommunales Kino Freiburg | on 2025-09-14 20:25:00 | in CinemaxX & Kandelhof Kino, Freiburg"
PDC Swiss Darts Trophy,2025-09-26 20:25:00,,,,Sport / Wettbewerb,Nein,None,30.0,80.0,CHF,paid,mid,,,unknown,20.0,50.0,18+,"St. Jakobshalle, Basel",Basel (CH),autumn,Ja,Sportfans & Zuschauer,PDC Europe,https://www.instagram.com/officialpdc/,https://www.swiss-darts-trophy.ch/en,0.3,"PDC Swiss Darts Trophy | by PDC Europe | on 2025-09-26 20:25:00 | in St. Jakobshalle, Basel"
Simon & Garfunkel Tribute Concert,2025-10-17 19:30:00,,,,Konzert / Tribute Show,Nein,None,40.0,80.0,CHF,paid,high,,,unknown,30.0,70.0,18+,Stadtcasino Basel,Basel (CH),autumn,Ja,Konzert- & Musikfans,Stadtcasino Basel,https://www.instagram.com/stadtcasino_basel/,https://www.simonandgarfunkelthroughtheyears.com/events/stadtcasino-musiksaal-basel-1,0.2,Simon & Garfunkel Tribute Concert | by Stadtcasino Basel | on 2025-10-17 19:30:00 | in Stadtcasino Basel
Mona Vetsch & Tom Gisler: Im mittleren Alter,2025-10-25 20:00:00,,,,Bühne / Humor / Talkshow,Nein,None,30.0,60.0,CHF,paid,mid,,,unknown,30.0,65.0,18+,Volkshaus Basel,Basel (CH),autumn,Ja,Kabarett- & Kulturpublikum,Volkshaus Basel,https://www.instagram.com/volkshausbasel/,https://www.volkshaus-basel.ch/programm/,0.9,Mona Vetsch & Tom Gisler: Im mittleren Alter | by Volkshaus Basel | on 2025-10-25 20:00:00 | in Volkshaus Basel
Kommunales Kino Freiburg – Filmprogramm,2025-09-27 20:25:00,,,,Filmfestival / Kino,Nein,Multigenre,8.0,12.0,EUR,paid,low,10000.0,,large (>500),18.0,60.0,18+,"Kommunales Kino, Freiburg",Freiburg (DE),autumn,Ja,Film- & Kulturpublikum,Kommunales Kino Freiburg,https://www.instagram.com/koki_freiburg/,https://www.koki-freiburg.de/,0.9,"Kommunales Kino Freiburg – Filmprogramm | by Kommunales Kino Freiburg | on 2025-09-27 20:25:00 | in Kommunales Kino, Freiburg"
Baloise Session Basel,2025-10-15 20:25:00,,,,Musikfestival / Clubkonzerte,Nein,Multigenre,50.0,150.0,CHF,paid,high,10000.0,,large (>500),20.0,65.0,18+,Basel,Basel (CH),autumn,Ja,Festival- & Musikliebhaber,Baloise Session,https://www.instagram.com/baloisesession/,https://www.baloisesession.ch/en,0.9,Baloise Session Basel | by Baloise Session | on 2025-10-15 20:25:00 | in Basel
Canoë-Kayak Mulhouse Riedisheim Session,2025-09-18 00:00:00,,,,Outdoor / Kanu & Kayak,Nein,None,15.0,30.0,EUR,paid,mid,,,unknown,12.0,50.0,6+,"Mulhouse-Riedisheim, Frankreich",Mulhouse (FR),autumn,Nein,Outdoor- & Wassersport-Fans,Canoë-Kayak Club Mulhouse Riedisheim,https://www.instagram.com/canoekayakmulhouse/,https://www.canoekayakmulhouse.fr/,0.9,"Canoë-Kayak Mulhouse Riedisheim Session | by Canoë-Kayak Club Mulhouse Riedisheim | on 2025-09-18 00:00:00 | in Mulhouse-Riedisheim, Frankreich"
Parc des Eaux Vives Huningue Wildwasser,2025-09-18 00:00:00,,,,Wildwasser / Kanu / Kayak,Nein,None,20.0,40.0,EUR,paid,mid,,,unknown,12.0,50.0,6+,"Parc des Eaux Vives, Huningue",Huningue (FR),autumn,Nein,Wildwasser-Sportler,Parc des Eaux Vives Huningue,https://www.instagram.com/parc_eaux_vives/,https://parc-eaux-vives.com/,0.8,"Parc des Eaux Vives Huningue Wildwasser | by Parc des Eaux Vives Huningue | on 2025-09-18 00:00:00 | in Parc des Eaux Vives, Huningue"
Bloodere Clique Lörrach – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,unknown,Innenstadt Lörrach,Lörrach (DE),winter,Ja,Fasnacht- & Brauchtumsfans,Bloodere Clique Lörrach,https://www.instagram.com/bloodereclique/,https://www.bloodereclique.de,0.3,Bloodere Clique Lörrach – Fasnachtsumzug | by Bloodere Clique Lörrach | on 2026-02-23 20:26:00 | in Innenstadt Lörrach
Storchen-Clique Hauingen – Fasnachtsauftritt,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,unknown,Hauingen (Lörrach),Lörrach (DE),winter,Ja,Tradition & Fasnacht,Storchen-Clique Hauingen e.V.,https://www.instagram.com/storchencliquehauingen/,https://www.storchenclique.de,0.3,Storchen-Clique Hauingen – Fasnachtsauftritt | by Storchen-Clique Hauingen e.V. | on 2026-02-23 20:26:00 | in Hauingen (Lörrach)
Brunnenputzer Lörrach – Fasnacht,2026-02-23 20:26:00,,,,Fasnacht / Straßenumzug,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,unknown,Innenstadt Lörrach,Lörrach (DE),winter,Ja,Fasnacht- & Brauchtum,Brunnenputzer Lörrach,https://www.instagram.com/brunnenputzer/,https://www.brunnenputzer-loerrach.de,0.3,Brunnenputzer Lörrach – Fasnacht | by Brunnenputzer Lörrach | on 2026-02-23 20:26:00 | in Innenstadt Lörrach
Bloodere Clique Lörrach – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach (DE),winter,Ja,Fasnacht- & Brauchtumsfans,Bloodere Clique Lörrach,,https://www.fasnacht-loerrach.de,0.9,Bloodere Clique Lörrach – Fasnachtsumzug | by Bloodere Clique Lörrach | on 2026-02-23 20:26:00 | in Innenstadt Lörrach & Ortsteile
Brunnenputzer Lörrach – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach (DE),winter,Ja,Fasnacht- & Brauchtumsfans,Brunnenputzer Lörrach,,https://www.fasnacht-loerrach.de,0.9,Brunnenputzer Lörrach – Fasnachtsumzug | by Brunnenputzer Lörrach | on 2026-02-23 20:26:00 | in Innenstadt Lörrach & Ortsteile
