event-name,start_datetime,end_datetime,recurrence_rule,date_description,event-type,dance_focus,dance_style,price_min,price_max,currency,pricing_type,price_category,audience_min,audience_max,audience_size_bucket,age_min,age_max,age_group_label,event-location,region,season,cross_border_potential,user-category,organizer,instagram,event_link,event_link_fit,description,event_date,event_time,weekday,month,country,city,latitude,longitude,region_standardized
Bärebrummer Friedlingen – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Bärebrummer Friedlingen,,https://www.fasnacht-loerrach.de,0.9,"Bärebrummer Friedlingen – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646,Lörrach (DE)
Baumfrevler Maulburg – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Baumfrevler Maulburg,,https://www.fasnacht-loerrach.de,0.9,"Baumfrevler Maulburg – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646,Lörrach (DE)
Beelze Buebe Kandern – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Beelze Buebe Kandern,,https://www.fasnacht-loerrach.de,0.9,"Beelze Buebe Kandern – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646,Lörrach (DE)
Belchengeister & Chäsliwieber Münstertal – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Belchengeister & Chäsliwieber Münstertal,,https://www.fasnacht-loerrach.de,0.9,"Belchengeister & Chäsliwieber Münstertal – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646,Lörrach (DE)
Storchen-Clique Hauingen – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Storchen-Clique Hauingen,,https://www.storchenclique.de,0.3,"Storchen-Clique Hauingen – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646,Lörrach (DE)
Hauinger Buurefasnacht – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Hauinger Buurefasnacht,,https://www.fasnacht-loerrach.de,0.9,"Hauinger Buurefasnacht – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646,Lörrach (DE)
BläachGuggeFätzzer Altenstadt – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,BläachGuggeFätzzer Altenstadt,,https://www.fasnacht-loerrach.de,0.9,"BläachGuggeFätzzer Altenstadt – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646,Lörrach (DE)
Blech-Beat Gugge – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Blech-Beat Gugge,,https://www.fasnacht-loerrach.de,0.9,"Blech-Beat Gugge – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646,Lörrach (DE)
Chanderner Geisse – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Chanderner Geisse,,https://www.fasnacht-loerrach.de,0.9,"Chanderner Geisse – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646,Lörrach (DE)
Chanderner Hexe – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Chanderner Hexe,,https://www.fasnacht-loerrach.de,0.9,"Chanderner Hexe – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646,Lörrach (DE)
Chanderner Werwölf – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Chanderner Werwölf,,https://www.fasnacht-loerrach.de,0.9,"Chanderner Werwölf – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646,Lörrach (DE)
Binzemer Narre – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Binzemer Narre,,https://www.fasnacht-loerrach.de,0.9,"Binzemer Narre – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646,Lörrach (DE)
Märchenwald-Hexen – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Märchenwald-Hexen,,https://www.fasnacht-loerrach.de,0.9,"Märchenwald-Hexen – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646,Lörrach (DE)
Lörracher Weihnachtsmarkt,2025-12-04 20:25:00,,,,Weihnachtsmarkt / Advent,Nein,,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,"Alter Marktplatz, Senser Platz, Hebelpark, Lörrach",Lörrach (DE),Winter,Ja,Weihnachtsmarkt-Besucher,Stadt Lörrach,https://www.instagram.com/stadt.loerrach/,https://www.loerrach.de/weihnachtsmarkt,0.9,"Lörracher Weihnachtsmarkt findet in Alter Marktplatz, Senser Platz, Hebelpark, Lörrach, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-12-04,20:25,Thursday,12.0,DE,Lörrach,47.615,7.6646,Lörrach (DE)
FamilyTour – Abenteuer Baumkronenweg Waldkirch,2025-11-09 12:45:00,,,,Outdoor / Familienevent,Nein,,15.0,30.0,EUR,paid,mid,,,unknown,6.0,60.0,All Ages,"Baumkronenweg, Waldkirch",Freiburg (DE),Autumn,Nein,Familien & Outdoor-Fans,SWFR Freiburg,https://www.instagram.com/swfr_freiburg/,https://www.swfr.de/,0.3,"FamilyTour – Abenteuer Baumkronenweg Waldkirch findet in Baumkronenweg, Waldkirch, Freiburg statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-11-09,12:45,Sunday,11.0,DE,Freiburg,47.999,7.8421,Freiburg (DE)
Narrenzunft Lörrach 1936 – Zunftabende & Umzüge,2026-02-04 20:26:00,,,,Fasnacht / Vereinsveranstaltungen,Nein,,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Alte Halle Haagen & Innenstadt Lörrach,Lörrach (DE),Winter,Ja,Fasnacht & Vereinsfreunde,Narrenzunft Lörrach 1936 e.V.,https://www.instagram.com/narrenzunft.loerrach/,https://www.narrenzunft-loerrach.de/,0.3,"Narrenzunft Lörrach 1936 – Zunftabende & Umzüge findet in Alte Halle Haagen & Innenstadt Lörrach, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-04,20:26,Wednesday,2.0,DE,Lörrach,47.615,7.6646,Lörrach (DE)
Weihnachtsmarkt Weil am Rhein,2025-11-29 20:25:00,,,,Weihnachtsmarkt / Advent,Nein,,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,"Lindenplatz, Alt-Weil, Weil am Rhein",Weil am Rhein (DE),Autumn,Ja,Weihnachtsmarktbesucher,Stadt Weil am Rhein,https://www.instagram.com/stadt_weilamrhein/,https://www.weil-am-rhein.de/de/Tourismus-Freizeit/Veranstaltungen/Weihnachtsmarkt,0.3,"Weihnachtsmarkt Weil am Rhein findet in Lindenplatz, Alt-Weil, Weil am Rhein, Weil am Rhein statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-11-29,20:25,Saturday,11.0,DE,Weil am Rhein,47.5939,7.62,Lörrach (DE)
Weihnachtsmärkte Südbaden 2025,2025-11-27 20:25:00,,,,Weihnachtsmärkte / Winterevents,Nein,,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,"Region Südbaden (u.a. Lörrach, Freiburg, Rheinfelden)",Freiburg (DE),Autumn,Ja,Winter- & Weihnachtsmarktbesucher,Tourismus Baden-Württemberg,https://www.instagram.com/visitbawu/,https://www.tourismus-bw.de/,0.9,"Weihnachtsmärkte Südbaden 2025 findet in Region Südbaden (u.a. Lörrach, Freiburg, Rheinfelden), Freiburg statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-11-27,20:25,Thursday,11.0,DE,Freiburg,47.999,7.8421,Freiburg (DE)
Weihnachtsmarkt Freiburg,2025-11-20 20:25:00,,,,Weihnachtsmarkt / Advent,Nein,,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Freiburg,Freiburg (DE),Autumn,Ja,Weihnachtsmarkt-Besucher,Stadt Freiburg,https://www.instagram.com/freiburg_de/,https://www.freiburg.de/pb/1176329.html,0.3,"Weihnachtsmarkt Freiburg findet in Innenstadt Freiburg, Freiburg statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-11-20,20:25,Thursday,11.0,DE,Freiburg,47.999,7.8421,Freiburg (DE)
Herdermer Weihnachtsmarkt Freiburg,2025-12-18 00:00:00,,,,Weihnachtsmarkt / Advent,Nein,,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,"Kirchplatz Herdern, Freiburg",Freiburg (DE),Winter,Ja,Stadtteilbewohner & Weihnachtsmarktfreunde,Gemeinde Herdern Freiburg,https://www.instagram.com/freiburg_de/,https://www.freiburg.de/pb/1176329.html,0.3,"Herdermer Weihnachtsmarkt Freiburg findet in Kirchplatz Herdern, Freiburg, Freiburg statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-12-18,00:00,Thursday,12.0,DE,Freiburg,47.999,7.8421,Freiburg (DE)
Basel Fasnacht 2026,2026-02-23 20:26:00,,,,Fasnacht / Karneval,Nein,,,,CHF,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Basel,Basel (CH),Winter,Ja,Fasnacht- & Brauchtumsfans,Comité Basler Fasnacht,https://www.instagram.com/baslerfasnacht/,https://www.fasnacht-loerrach.de,0.9,"Basel Fasnacht 2026 findet in Innenstadt Basel, Basel statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,CH,Basel,47.5596,7.5886,Basel (CH)
Weihnachtscircus Lörrach,2025-12-20 20:26:00,,,,Circus / Familienunterhaltung,Nein,,20.0,60.0,EUR,paid,mid,,,unknown,,,All Ages,Lörrach Messegelände,Lörrach (DE),Winter,Ja,Familien & Circusliebhaber,Weihnachtscircus Lörrach,https://www.instagram.com/weihnachtscircus/,https://www.loerrach.de/veranstaltungen,0.9,"Weihnachtscircus Lörrach findet in Lörrach Messegelände, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-12-20,20:26,Saturday,12.0,DE,Lörrach,47.615,7.6646,Lörrach (DE)
Winterzauber Bad Säckingen,2025-11-28 20:25:00,,,,Weihnachtsmarkt / Winterevent,Nein,,,,,,,300.0,2000.0,large (>500),,,All Ages,Altstadt Bad Säckingen,unknown,Autumn,Nein,Familien & Weihnachtsmarktbesucher,Stadt Bad Säckingen,https://www.instagram.com/badsaeckingen/,https://www.basel.com/en/events,0.8,"Winterzauber Bad Säckingen findet in Altstadt Bad Säckingen, nan statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-11-28,20:25,Friday,11.0,,,,,Lörrach (DE)
Fasnacht Kinderumzug Riehen,2026-02-24 14:00:00,,,,Fasnacht / Kinderumzug,Nein,,,,,,,300.0,2000.0,large (>500),4.0,14.0,All Ages,"Innenstadt Riehen, Schweiz",unknown,Winter,Nein,Kinder & Familien,Fasnachtskomitee Riehen,https://www.instagram.com/riehen_kultur/,https://www.fasnacht-loerrach.de,0.9,"Fasnacht Kinderumzug Riehen findet in Innenstadt Riehen, Schweiz, nan statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-24,14:00,Tuesday,2.0,,,,,Basel (CH)
Winterlichter Freiburg,2025-12-01 20:25:00,,,,Weihnachtsmarkt & Lichtinstallation,Nein,,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Freiburg,Freiburg (DE),Winter,Ja,Weihnachts- & Kulturfreunde,Stadt Freiburg,https://www.instagram.com/freiburg_de/,https://www.freiburg.de/pb/1176329.html,0.3,"Winterlichter Freiburg findet in Innenstadt Freiburg, Freiburg statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-12-01,20:25,Monday,12.0,DE,Freiburg,47.999,7.8421,Freiburg (DE)
Fasnachts-Zunftabend Zänzeler e.V.,2026-02-07 20:00:00,,,,Fasnacht / Vereinsabend,Nein,,10.0,20.0,EUR,paid,mid,300.0,2000.0,large (>500),16.0,70.0,All Ages,"Zänzeler Zunfthalle, Lörrach",Lörrach (DE),Winter,Ja,Fasnacht- & Vereinsfreunde,Zänzeler Fasnachtsverein Lörrach,https://www.instagram.com/zanzeleclique/,https://www.fasnacht-loerrach.de,0.9,"Fasnachts-Zunftabend Zänzeler e.V. findet in Zänzeler Zunfthalle, Lörrach, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-07,20:00,Saturday,2.0,DE,Lörrach,47.615,7.6646,Lörrach (DE)
